"Status","Year","Age","Disability","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Outside London","AA/AO","30","30","[c]","[c]"
"In post","2022","16-19","Declared disabled","Outside London","EO","15","15","[c]","[c]"
"In post","2022","16-19","Declared disabled","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","London","AA/AO","40","35","23430","23450"
"In post","2022","16-19","Declared non-disabled","London","EO","40","40","26340","25710"
"In post","2022","16-19","Declared non-disabled","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Outside London","AA/AO","445","430","21270","21250"
"In post","2022","16-19","Declared non-disabled","Outside London","EO","115","115","23360","24570"
"In post","2022","16-19","Declared non-disabled","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Outside London","Unknown","30","30","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Undeclared","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","London","AA/AO","30","30","25190","25190"
"In post","2022","16-19","Unknown","London","EO","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Outside London","AA/AO","335","320","21230","21250"
"In post","2022","16-19","Unknown","Outside London","EO","100","100","21740","23770"
"In post","2022","16-19","Unknown","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Unknown","35","35","17940","16450"
"In post","2022","20-29","Declared disabled","London","AA/AO","145","140","25330","24850"
"In post","2022","20-29","Declared disabled","London","EO","460","455","29320","29000"
"In post","2022","20-29","Declared disabled","London","G6/G7","240","240","55200","54070"
"In post","2022","20-29","Declared disabled","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","London","SEO/HEO","795","785","36290","35000"
"In post","2022","20-29","Declared disabled","London","Unknown","40","40","28850","27060"
"In post","2022","20-29","Declared disabled","Outside London","AA/AO","1545","1495","22270","21260"
"In post","2022","20-29","Declared disabled","Outside London","EO","1260","1240","26750","27570"
"In post","2022","20-29","Declared disabled","Outside London","G6/G7","90","90","52030","50430"
"In post","2022","20-29","Declared disabled","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Outside London","SEO/HEO","830","820","33300","33080"
"In post","2022","20-29","Declared disabled","Outside London","Unknown","330","325","25720","24090"
"In post","2022","20-29","Declared disabled","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Overseas","SEO/HEO","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","EO","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","London","AA/AO","1255","1230","26280","25110"
"In post","2022","20-29","Declared non-disabled","London","EO","3155","3115","29240","29220"
"In post","2022","20-29","Declared non-disabled","London","G6/G7","2295","2290","55650","54270"
"In post","2022","20-29","Declared non-disabled","London","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","London","SEO/HEO","6320","6305","36900","36040"
"In post","2022","20-29","Declared non-disabled","London","Unknown","290","290","29290","27060"
"In post","2022","20-29","Declared non-disabled","Outside London","AA/AO","14385","14010","22640","21260"
"In post","2022","20-29","Declared non-disabled","Outside London","EO","10955","10835","26640","26820"
"In post","2022","20-29","Declared non-disabled","Outside London","G6/G7","730","725","52600","52080"
"In post","2022","20-29","Declared non-disabled","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Outside London","SEO/HEO","8385","8335","33440","33080"
"In post","2022","20-29","Declared non-disabled","Outside London","Unknown","2220","2185","25650","24090"
"In post","2022","20-29","Declared non-disabled","Overseas","AA/AO","10","10","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Overseas","EO","15","15","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Overseas","G6/G7","15","15","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Overseas","SEO/HEO","175","175","34110","33230"
"In post","2022","20-29","Declared non-disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Unknown","AA/AO","25","25","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Unknown","EO","70","70","27940","27570"
"In post","2022","20-29","Declared non-disabled","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Unknown","SEO/HEO","55","55","34290","34340"
"In post","2022","20-29","Declared non-disabled","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","London","AA/AO","65","65","26350","25110"
"In post","2022","20-29","Undeclared","London","EO","150","145","29300","29970"
"In post","2022","20-29","Undeclared","London","G6/G7","150","145","54860","53380"
"In post","2022","20-29","Undeclared","London","SEO/HEO","425","425","36260","35050"
"In post","2022","20-29","Undeclared","London","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Undeclared","Outside London","AA/AO","630","615","22640","21260"
