"Status","Year","Age","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Bedfordshire and Hertfordshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","AO","5","5","[c]","[c]"
"In post","2022","16-19","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA","5","5","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","AO","10","10","23970","22600"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","25","25","19200","19110"
"In post","2022","16-19","Cheshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cheshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","AO","20","20","21840","21250"
"In post","2022","16-19","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","AA","10","10","18240","19380"
"In post","2022","16-19","Devon","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Devon","Unknown","10","10","18010","18030"
"In post","2022","16-19","Dorset and Somerset","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Dorset and Somerset","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Anglia","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Anglia","AO","25","25","22240","21680"
"In post","2022","16-19","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","East Wales","AA","15","15","18390","17450"
"In post","2022","16-19","East Wales","AO","25","25","21020","21250"
"In post","2022","16-19","East Wales","EO","10","10","25260","23880"
"In post","2022","16-19","East Yorkshire and Northern Lincolnshire","AA","[c]","[c]","[c]","[c]"
