"Status","Year","Ethnicity","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","AA/AO","8515","7525","22660","21260"
"In post","2022","Asian","EO","10815","10140","28350","27570"
"In post","2022","Asian","G6/G7","3830","3730","58840","57290"
"In post","2022","Asian","SCS level","330","320","91540","85000"
"In post","2022","Asian","SEO/HEO","9320","9075","37310","36620"
"In post","2022","Asian","Unknown","840","785","29920","28200"
"In post","2022","Black","AA/AO","4145","3850","24560","23770"
"In post","2022","Black","EO","5665","5425","29270","29290"
"In post","2022","Black","G6/G7","1480","1465","58030","55760"
"In post","2022","Black","SCS level","100","95","93280","82610"
"In post","2022","Black","SEO/HEO","4495","4420","37710","37220"
"In post","2022","Black","Unknown","1195","1150","31600","28690"
"In post","2022","Mixed","AA/AO","2015","1860","23540","21680"
"In post","2022","Mixed","EO","2320","2200","28270","27570"
"In post","2022","Mixed","G6/G7","1475","1425","58500","56780"
"In post","2022","Mixed","SCS level","150","145","84910","78630"
"In post","2022","Mixed","SEO/HEO","2655","2585","37150","36500"
"In post","2022","Mixed","Unknown","560","530","30850","28690"
"In post","2022","Other ethnicity","AA/AO","560","515","24020","22560"
"In post","2022","Other ethnicity","EO","725","685","28660","28210"
"In post","2022","Other ethnicity","G6/G7","440","425","59560","57430"
"In post","2022","Other ethnicity","SCS level","50","50","88430","83880"
"In post","2022","Other ethnicity","SEO/HEO","770","750","38120","37430"
"In post","2022","Other ethnicity","Unknown","105","100","31100","29000"
"In post","2022","Undeclared","AA/AO","4640","4145","23000","21490"
"In post","2022","Undeclared","EO","5610","5160","28570","27570"
"In post","2022","Undeclared","G6/G7","2895","2805","59340","57480"
"In post","2022","Undeclared","SCS level","205","200","87500","80220"
"In post","2022","Undeclared","SEO/HEO","6250","5985","37890","37420"
"In post","2022","Undeclared","Unknown","600","560","34330","33200"
"In post","2022","Unknown","AA/AO","22795","21145","22820","21300"
"In post","2022","Unknown","EO","15945","15210","28010","27270"
"In post","2022","Unknown","G6/G7","9105","8860","59560","57430"
"In post","2022","Unknown","SCS level","935","910","96000","88000"
"In post","2022","Unknown","SEO/HEO","18135","17670","36210","34770"
"In post","2022","Unknown","Unknown","5580","5210","31430","28760"
"In post","2022","White","AA/AO","94495","84760","22880","21300"
"In post","2022","White","EO","90190","83185","27810","27570"
"In post","2022","White","G6/G7","50215","48345","59080","57190"
"In post","2022","White","SCS level","5455","5280","90070","82340"
"In post","2022","White","SEO/HEO","99905","95780","37270","36480"
"In post","2022","White","Unknown","14565","13630","31690","28980"
"Leaver CS","2022","Asian","AA/AO","845","[c]","22010","21260"
"Leaver CS","2022","Asian","EO","715","[c]","28210","27570"
"Leaver CS","2022","Asian","G6/G7","225","[c]","59250","57170"
"Leaver CS","2022","Asian","SCS level","45","[c]","98160","95140"
"Leaver CS","2022","Asian","SEO/HEO","520","[c]","37110","36760"
"Leaver CS","2022","Asian","Unknown","55","[c]","[c]","[c]"
"Leaver CS","2022","Black","AA/AO","425","[c]","22570","22550"
"Leaver CS","2022","Black","EO","505","[c]","29110","29290"
"Leaver CS","2022","Black","G6/G7","110","[c]","58280","54700"
"Leaver CS","2022","Black","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","Black","SEO/HEO","315","[c]","37710","36500"
"Leaver CS","2022","Black","Unknown","95","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","AA/AO","295","[c]","21570","21260"
"Leaver CS","2022","Mixed","EO","270","[c]","27980","27570"
"Leaver CS","2022","Mixed","G6/G7","85","[c]","60370","58130"
"Leaver CS","2022","Mixed","SCS level","15","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","SEO/HEO","165","[c]","37150","36450"
"Leaver CS","2022","Mixed","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","AA/AO","80","[c]","21630","21260"
"Leaver CS","2022","Other ethnicity","EO","80","[c]","28840","28420"
"Leaver CS","2022","Other ethnicity","G6/G7","35","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","SEO/HEO","70","[c]","38060","36650"
"Leaver CS","2022","Other ethnicity","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","AA/AO","570","[c]","22010","21260"
"Leaver CS","2022","Undeclared","EO","450","[c]","28260","27570"
"Leaver CS","2022","Undeclared","G6/G7","215","[c]","58670","57500"
"Leaver CS","2022","Undeclared","SCS level","20","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","SEO/HEO","475","[c]","37850","36840"
"Leaver CS","2022","Undeclared","Unknown","55","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","4090","[c]","21680","21260"
"Leaver CS","2022","Unknown","EO","1800","[c]","27290","27570"
"Leaver CS","2022","Unknown","G6/G7","780","[c]","60490","57430"
"Leaver CS","2022","Unknown","SCS level","125","[c]","106560","95220"
"Leaver CS","2022","Unknown","SEO/HEO","1565","[c]","36930","36290"
"Leaver CS","2022","Unknown","Unknown","935","[c]","36450","33570"
"Leaver CS","2022","White","AA/AO","11105","[c]","21710","21260"
"Leaver CS","2022","White","EO","6770","[c]","27630","27570"
"Leaver CS","2022","White","G6/G7","2855","[c]","60300","57810"
"Leaver CS","2022","White","SCS level","495","[c]","97110","93000"
"Leaver CS","2022","White","SEO/HEO","5775","[c]","37580","36840"
