"Status","Year","Age","Function_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Communications","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","Unknown","25","20","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Work and Pensions","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","UK Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department of Health and Social Care","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs","Unknown","10","5","[c]","[c]"
"In post","2022","16-19","Finance","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Ministry of Defence","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Finance","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Department for Environment, Food and Rural Affairs","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Human Resources","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Levelling Up, Housing and Communities","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Levelling Up, Housing and Communities","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Attorney General's Departments","Heterosexual / straight","30","30","22170","22200"
"In post","2022","16-19","Legal","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","No function","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport","Heterosexual / straight","35","30","19640","18310"
"In post","2022","16-19","No function","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport","Unknown","45","40","19850","18310"
"In post","2022","16-19","No function","Department for Work and Pensions","Heterosexual / straight","105","100","23050","21260"
"In post","2022","16-19","No function","Department for Work and Pensions","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department of Health and Social Care","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","No function","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department of Health and Social Care","Undeclared","5","0","[c]","[c]"
"In post","2022","16-19","No function","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs","Heterosexual / straight","50","45","21450","21250"
"In post","2022","16-19","No function","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs","Unknown","60","60","21530","21250"
"In post","2022","16-19","No function","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Defence","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Defence","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Justice","Heterosexual / straight","90","90","22920","23140"
"In post","2022","16-19","No function","Ministry of Justice","LGBO","15","15","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Justice","Unknown","85","85","22630","21790"
"In post","2022","16-19","No function","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Scottish Government","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","No function","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Scottish Government","Unknown","15","10","[c]","[c]"
"In post","2022","16-19","No function","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","UK Statistics Authority","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","No function","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","UK Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Competition and Markets Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Work and Pensions","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Ministry of Defence","Heterosexual / straight","55","55","19270","18030"
"In post","2022","16-19","Project Delivery","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Ministry of Defence","Unknown","50","50","17480","17140"
"In post","2022","16-19","Property","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Foreign, Commonwealth and Development Office","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Property","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","HM Revenue and Customs","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Property","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","HM Revenue and Customs","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Property","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Cabinet Office","Unknown","5","5","[c]","[c]"
