"Status","Year","Age","Ethnicity","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Economics","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","East Midlands (England)","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","London","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","North West (England)","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","Yorkshire and The Humber","15","10","[c]","[c]"
"In post","2022","16-19","Asian","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Research","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Policy","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Policy","London","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Policy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Policy","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Statistics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Statistics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tax","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tax","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tax","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tax","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tax","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tax","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tax","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tax","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Veterinarian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Economics","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Internal Audit","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Research","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Policy","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Policy","London","[c]","[c]","[c]","[c]"
