"Status","Year","Function_of_post","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Cheshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","Outside London","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","Outside London","Male","35","35","40530","37700"
"In post","2022","Analysis","Devon","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Devon","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","Outside London","Female","60","60","31240","29510"
"In post","2022","Analysis","Dorset and Somerset","Outside London","Male","70","65","36890","30640"
"In post","2022","Analysis","East Anglia","Outside London","Female","155","145","32210","29750"
"In post","2022","Analysis","East Anglia","Outside London","Male","185","180","36720","35900"
"In post","2022","Analysis","East Wales","Outside London","Female","715","670","36660","36840"
"In post","2022","Analysis","East Wales","Outside London","Male","580","570","38050","36840"
"In post","2022","Analysis","East Wales","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","East Yorkshire and Northern Lincolnshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Yorkshire and Northern Lincolnshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","Outside London","Female","35","35","48550","45410"
"In post","2022","Analysis","Eastern Scotland","Outside London","Male","35","35","46970","41670"
"In post","2022","Analysis","Essex","Outside London","Female","15","10","[c]","[c]"
"In post","2022","Analysis","Essex","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","160","150","38550","38070"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","185","180","39200","38070"
"In post","2022","Analysis","Greater Manchester","Outside London","Female","140","135","39070","34000"
"In post","2022","Analysis","Greater Manchester","Outside London","Male","175","175","39550","34960"
"In post","2022","Analysis","Hampshire and Isle of Wight","Outside London","Female","430","400","37730","37720"
"In post","2022","Analysis","Hampshire and Isle of Wight","Outside London","Male","515","500","40740","38110"
"In post","2022","Analysis","Hampshire and Isle of Wight","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Inner London - East","London","Female","395","375","50140","45490"
"In post","2022","Analysis","Inner London - East","London","Male","495","485","50470","45010"
"In post","2022","Analysis","Inner London - West","London","Female","1250","1190","48560","45220"
"In post","2022","Analysis","Inner London - West","London","Male","1540","1520","50200","47410"
"In post","2022","Analysis","Inner London - West","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Kent","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Kent","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lancashire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lancashire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire, Rutland and Northamptonshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire, Rutland and Northamptonshire","Outside London","Male","10","5","[c]","[c]"
"In post","2022","Analysis","Lincolnshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Merseyside","Outside London","Female","70","65","41390","40180"
"In post","2022","Analysis","Merseyside","Outside London","Male","70","65","41380","40180"
"In post","2022","Analysis","North Yorkshire","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","North Yorkshire","Outside London","Male","20","20","[c]","[c]"
