"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","G6/G7","10","10","57040","57500"
"In post","2022","Attorney General's Departments","Commercial","SEO/HEO","25","25","35460","37480"
"In post","2022","Attorney General's Departments","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","EO","15","15","27520","26970"
"In post","2022","Attorney General's Departments","Communications","G6/G7","20","20","59010","54760"
"In post","2022","Attorney General's Departments","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","SEO/HEO","50","50","36990","38410"
"In post","2022","Attorney General's Departments","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","EO","40","40","27250","26260"
"In post","2022","Attorney General's Departments","Counter Fraud","G6/G7","80","75","65280","66200"
"In post","2022","Attorney General's Departments","Counter Fraud","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","SEO/HEO","115","115","38030","40000"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","AA/AO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","EO","35","35","27530","26970"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","G6/G7","40","40","58440","55750"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","85","85","36940","38180"
"In post","2022","Attorney General's Departments","Finance","AA/AO","75","65","22520","22200"
"In post","2022","Attorney General's Departments","Finance","EO","55","50","26750","26590"
"In post","2022","Attorney General's Departments","Finance","G6/G7","25","25","61140","59490"
"In post","2022","Attorney General's Departments","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","SEO/HEO","60","60","34020","32490"
"In post","2022","Attorney General's Departments","Human Resources","AA/AO","35","30","22600","23320"
"In post","2022","Attorney General's Departments","Human Resources","EO","45","45","26760","26950"
"In post","2022","Attorney General's Departments","Human Resources","G6/G7","55","50","57730","54760"
"In post","2022","Attorney General's Departments","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","SEO/HEO","115","110","33870","32150"
"In post","2022","Attorney General's Departments","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","EO","20","20","28160","28430"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","G6/G7","15","15","58820","54760"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","10","10","35890","33930"
"In post","2022","Attorney General's Departments","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","EO","200","200","28540","27200"
"In post","2022","Attorney General's Departments","Legal","G6/G7","4560","4205","57990","55610"
"In post","2022","Attorney General's Departments","Legal","SCS level","270","255","85870","82380"
