"Status","Year","Organisation","Region_ITL1","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scotland","Southern Scotland","Female","65","55","31100","30040"
"In post","2022","Accountant in Bankruptcy","Scotland","Southern Scotland","Male","40","40","35150","30040"
"In post","2022","Accountant in Bankruptcy","Scotland","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","Female","70","65","28910","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","Male","35","35","28710","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","Female","25","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","Male","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Inner London - West","Female","105","95","41120","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Inner London - West","Male","85","85","44560","43750"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland, and Tyne and Wear","Female","90","80","29230","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland, and Tyne and Wear","Male","50","50","31020","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Tees Valley and Durham","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Tees Valley and Durham","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","Female","80","75","29940","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","Male","50","50","30390","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","West Central Scotland","Female","50","45","30420","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","West Central Scotland","Male","40","40","33000","30950"
