"Status","Year","Function_of_post","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Operational Research","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Other","Female","70","60","68250","65470"
"In post","2022","Analysis","Chancellor's other departments","Other","Male","135","130","68460","57250"
"In post","2022","Analysis","Competition and Markets Authority","Economics","Female","45","40","62970","57100"
"In post","2022","Analysis","Competition and Markets Authority","Economics","Male","55","55","65630","61130"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Female","60","60","39090","33880"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Male","125","120","42610","35840"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Female","20","15","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","Female","5","5","[c]","[c]"
