"Status","Year","Organisation","Parent_department","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Southern Scotland","Female","65","55","31100","30040"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Southern Scotland","Male","40","40","35150","30040"
"In post","2022","Accountant in Bankruptcy","Scottish Government","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","Female","70","65","28910","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","Male","35","35","28710","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Anglia","Female","25","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Anglia","Male","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Wales","Female","50","45","29460","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Wales","Male","30","30","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","Female","25","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","Male","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Greater Manchester","Female","80","75","29940","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Greater Manchester","Male","50","50","30390","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Hampshire and Isle of Wight","Female","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Hampshire and Isle of Wight","Male","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Herefordshire, Worcestershire and Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Inner London - West","Female","105","95","41120","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Inner London - West","Male","85","85","44560","43750"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Kent","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Northumberland, and Tyne and Wear","Female","90","80","29230","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Northumberland, and Tyne and Wear","Male","50","50","31020","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Shropshire and Staffordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Shropshire and Staffordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Tees Valley and Durham","Female","[c]","[c]","[c]","[c]"
