"Status","Year","Disability","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","AA/AO","Female","9420","7915","22030","21260"
"In post","2022","Declared disabled","AA/AO","Male","6305","5890","23040","21260"
"In post","2022","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","EO","Female","10165","8995","27830","27570"
"In post","2022","Declared disabled","EO","Male","6105","5785","28220","27570"
"In post","2022","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","G6/G7","Female","2960","2815","58090","55550"
"In post","2022","Declared disabled","G6/G7","Male","2425","2365","59190","57430"
"In post","2022","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","SCS level","Female","250","240","85970","78460"
"In post","2022","Declared disabled","SCS level","Male","240","240","91700","82230"
"In post","2022","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","SEO/HEO","Female","7420","6995","36520","35310"
"In post","2022","Declared disabled","SEO/HEO","Male","5800","5615","37470","36500"
"In post","2022","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Female","2650","2460","30650","28200"
"In post","2022","Declared disabled","Unknown","Male","870","830","33130","31420"
"In post","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","AA/AO","Female","50525","43300","22190","21260"
"In post","2022","Declared non-disabled","AA/AO","Male","36375","34955","23730","21680"
"In post","2022","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","EO","Female","50930","45705","27670","27570"
"In post","2022","Declared non-disabled","EO","Male","36305","35080","28020","27570"
"In post","2022","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","G6/G7","Female","23085","21855","58590","56450"
"In post","2022","Declared non-disabled","G6/G7","Male","24620","24125","59500","57490"
"In post","2022","Declared non-disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SCS level","Female","2370","2255","87040","80000"
"In post","2022","Declared non-disabled","SCS level","Male","2715","2670","91650","83230"
"In post","2022","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","SEO/HEO","Female","49070","46415","36820","35980"
"In post","2022","Declared non-disabled","SEO/HEO","Male","45355","44380","37700","36930"
"In post","2022","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Female","9420","8705","30560","28200"
"In post","2022","Declared non-disabled","Unknown","Male","3920","3790","34400","31420"
"In post","2022","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Female","4110","3520","23070","21550"
"In post","2022","Undeclared","AA/AO","Male","4685","4360","25850","22750"
"In post","2022","Undeclared","EO","Female","3270","2970","28020","27570"
"In post","2022","Undeclared","EO","Male","3595","3450","29110","27570"
"In post","2022","Undeclared","G6/G7","Female","1215","1170","58640","56650"
"In post","2022","Undeclared","G6/G7","Male","1750","1715","60260","57710"
"In post","2022","Undeclared","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS level","Female","105","105","82090","78290"
"In post","2022","Undeclared","SCS level","Male","150","145","89260","82340"
"In post","2022","Undeclared","SEO/HEO","Female","3320","3155","37090","36150"
"In post","2022","Undeclared","SEO/HEO","Male","4370","4255","38400","37610"
"In post","2022","Undeclared","Unknown","Female","575","535","31460","30200"
"In post","2022","Undeclared","Unknown","Male","335","320","35330","32760"
"In post","2022","Unknown","AA/AO","Female","13485","12035","22410","21680"
"In post","2022","Unknown","AA/AO","Male","12260","11825","23560","21680"
"In post","2022","Unknown","EO","Female","10515","9935","28160","27230"
"In post","2022","Unknown","EO","Male","10380","10085","28880","27460"
"In post","2022","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","G6/G7","Female","6675","6370","58810","56060"
"In post","2022","Unknown","G6/G7","Male","6715","6625","59960","57430"
"In post","2022","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SCS level","Female","680","655","94070","84360"
"In post","2022","Unknown","SCS level","Male","710","695","99570","93000"
"In post","2022","Unknown","SEO/HEO","Female","13045","12540","36440","35900"
"In post","2022","Unknown","SEO/HEO","Male","13135","12905","37330","36740"
"In post","2022","Unknown","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Unknown","Unknown","Female","2790","2540","27900","25480"
"In post","2022","Unknown","Unknown","Male","2890","2785","34880","32550"
"Leaver CS","2022","Declared disabled","AA/AO","Female","1010","[c]","21420","21260"
"Leaver CS","2022","Declared disabled","AA/AO","Male","790","[c]","21740","21260"
"Leaver CS","2022","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","EO","Female","755","[c]","27650","27570"
"Leaver CS","2022","Declared disabled","EO","Male","520","[c]","27870","27570"
"Leaver CS","2022","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","G6/G7","Female","135","[c]","58960","56490"
"Leaver CS","2022","Declared disabled","G6/G7","Male","160","[c]","60230","59110"
"Leaver CS","2022","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","SCS level","Male","25","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","SEO/HEO","Female","445","[c]","36960","35740"
"Leaver CS","2022","Declared disabled","SEO/HEO","Male","365","[c]","38370","37040"
"Leaver CS","2022","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Female","190","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Male","70","[c]","[c]","[c]"
