"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","East Midlands (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","London","Heterosexual / straight","380","370","45600","41750"
"In post","2022","Asian","Analysis","London","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","London","Undeclared","30","25","[c]","[c]"
"In post","2022","Asian","Analysis","London","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","Heterosexual / straight","35","35","38280","33370"
"In post","2022","Asian","Analysis","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scotland","Heterosexual / straight","5","5","[c]","[c]"
