"Status","Year","Region_ITL2","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","Female","Heterosexual / straight","1980","1830","32810","29290"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","Female","LGBO","95","95","30590","29290"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","Female","Undeclared","200","180","32940","29290"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","Female","Unknown","420","375","33210","29290"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","Male","Heterosexual / straight","1395","1365","34880","30750"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","Male","LGBO","80","80","33670","29290"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","Male","Undeclared","195","185","34390","32530"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","Male","Unknown","325","315","33550","30130"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","Heterosexual / straight","3495","3230","32300","28840"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","LGBO","215","210","30580","28140"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","Undeclared","435","400","32530","29510"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","Unknown","750","680","31360","28140"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","Heterosexual / straight","3260","3180","34960","32040"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","LGBO","155","150","34960","32040"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","Undeclared","450","435","36830","35000"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","Unknown","780","755","34750","30820"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Outside London","Female","Heterosexual / straight","1800","1660","31370","28840"
"In post","2022","Cheshire","Outside London","Female","LGBO","135","130","32020","29060"
"In post","2022","Cheshire","Outside London","Female","Undeclared","190","175","30540","27570"
"In post","2022","Cheshire","Outside London","Female","Unknown","375","330","27920","25500"
"In post","2022","Cheshire","Outside London","Male","Heterosexual / straight","1315","1285","34180","31990"
"In post","2022","Cheshire","Outside London","Male","LGBO","85","85","31590","28840"
"In post","2022","Cheshire","Outside London","Male","Undeclared","170","165","33140","31650"
"In post","2022","Cheshire","Outside London","Male","Unknown","320","300","31450","29320"
"In post","2022","Cheshire","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Outside London","Female","Heterosexual / straight","695","615","27660","27570"
"In post","2022","Cornwall and Isles of Scilly","Outside London","Female","LGBO","35","30","28770","27570"
"In post","2022","Cornwall and Isles of Scilly","Outside London","Female","Undeclared","85","75","27140","26940"
"In post","2022","Cornwall and Isles of Scilly","Outside London","Female","Unknown","160","140","25690","21260"
"In post","2022","Cornwall and Isles of Scilly","Outside London","Male","Heterosexual / straight","560","540","28540","26670"
"In post","2022","Cornwall and Isles of Scilly","Outside London","Male","LGBO","30","30","25950","23090"
"In post","2022","Cornwall and Isles of Scilly","Outside London","Male","Undeclared","90","85","29060","26780"
"In post","2022","Cornwall and Isles of Scilly","Outside London","Male","Unknown","115","110","27570","26520"
"In post","2022","Cornwall and Isles of Scilly","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Outside London","Female","Heterosexual / straight","830","730","28350","25640"
"In post","2022","Cumbria","Outside London","Female","LGBO","40","35","29610","26680"
"In post","2022","Cumbria","Outside London","Female","Undeclared","85","75","28250","24920"
"In post","2022","Cumbria","Outside London","Female","Unknown","390","335","24880","21300"
"In post","2022","Cumbria","Outside London","Male","Heterosexual / straight","600","585","31960","27570"
"In post","2022","Cumbria","Outside London","Male","LGBO","45","40","28830","26580"
"In post","2022","Cumbria","Outside London","Male","Undeclared","90","85","32960","27930"
"In post","2022","Cumbria","Outside London","Male","Unknown","240","240","27120","24610"
"In post","2022","Cumbria","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","Female","Heterosexual / straight","5245","4750","31860","27570"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","Female","LGBO","340","325","30930","27570"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","Female","Undeclared","640","575","31890","27570"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","Female","Unknown","1550","1380","28910","26820"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","Male","Heterosexual / straight","3800","3685","33630","28990"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","Male","LGBO","265","260","31490","27570"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","Male","Undeclared","495","470","34200","31710"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","Male","Unknown","1365","1310","30640","27130"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Outside London","Female","Heterosexual / straight","3185","2805","30880","27570"
"In post","2022","Devon","Outside London","Female","LGBO","205","190","29280","27570"
"In post","2022","Devon","Outside London","Female","Undeclared","425","370","32280","27570"
"In post","2022","Devon","Outside London","Female","Unknown","710","595","26210","23170"
"In post","2022","Devon","Outside London","Male","Heterosexual / straight","3340","3220","34520","31650"
"In post","2022","Devon","Outside London","Male","LGBO","190","185","30900","27570"
"In post","2022","Devon","Outside London","Male","Undeclared","575","545","36040","36160"
"In post","2022","Devon","Outside London","Male","Unknown","690","660","29330","27130"
"In post","2022","Devon","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Devon","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Outside London","Female","Heterosexual / straight","1865","1680","29530","27570"
"In post","2022","Dorset and Somerset","Outside London","Female","LGBO","110","105","28320","27130"
"In post","2022","Dorset and Somerset","Outside London","Female","Undeclared","245","220","29810","27570"
"In post","2022","Dorset and Somerset","Outside London","Female","Unknown","425","365","28360","27130"
"In post","2022","Dorset and Somerset","Outside London","Male","Heterosexual / straight","1985","1920","31700","28890"
"In post","2022","Dorset and Somerset","Outside London","Male","LGBO","85","80","30610","27570"
"In post","2022","Dorset and Somerset","Outside London","Male","Undeclared","290","280","31810","30380"
"In post","2022","Dorset and Somerset","Outside London","Male","Unknown","455","440","31370","27570"
"In post","2022","Dorset and Somerset","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East Anglia","Outside London","Female","Heterosexual / straight","4700","4245","29260","27370"
"In post","2022","East Anglia","Outside London","Female","LGBO","245","235","27900","26140"
"In post","2022","East Anglia","Outside London","Female","Undeclared","590","535","30370","27570"
"In post","2022","East Anglia","Outside London","Female","Unknown","1090","950","28910","26820"
