"Status","Year","Disability","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Heterosexual / straight","435","400","32700","29290"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","LGBO","40","40","29890","29260"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Undeclared","45","40","30520","29290"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Unknown","30","25","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","805","760","32630","29510"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","LGBO","85","85","30510","29290"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","110","100","32490","29530"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","40","40","31930","27570"
"In post","2022","Declared disabled","Cheshire","Heterosexual / straight","360","325","30330","27570"
"In post","2022","Declared disabled","Cheshire","LGBO","30","30","31340","27570"
"In post","2022","Declared disabled","Cheshire","Undeclared","50","45","31070","29180"
"In post","2022","Declared disabled","Cheshire","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Heterosexual / straight","185","170","27440","27570"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","LGBO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","Heterosexual / straight","185","165","29890","27570"
"In post","2022","Declared disabled","Cumbria","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","Unknown","35","30","24960","21300"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Heterosexual / straight","1295","1185","30350","27570"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","LGBO","150","145","30480","27570"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Undeclared","190","175","29960","27570"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Unknown","105","95","28710","27570"
"In post","2022","Declared disabled","Devon","Heterosexual / straight","780","700","29440","27570"
"In post","2022","Declared disabled","Devon","LGBO","85","80","28500","27570"
"In post","2022","Declared disabled","Devon","Undeclared","120","110","29440","27570"
"In post","2022","Declared disabled","Devon","Unknown","65","60","27550","25010"
"In post","2022","Declared disabled","Dorset and Somerset","Heterosexual / straight","500","455","29570","27570"
"In post","2022","Declared disabled","Dorset and Somerset","LGBO","50","45","30040","27630"
"In post","2022","Declared disabled","Dorset and Somerset","Undeclared","85","75","28920","27570"
"In post","2022","Declared disabled","Dorset and Somerset","Unknown","30","25","[c]","[c]"
"In post","2022","Declared disabled","East Anglia","Heterosexual / straight","1155","1055","29920","27570"
"In post","2022","Declared disabled","East Anglia","LGBO","95","90","27730","27470"
"In post","2022","Declared disabled","East Anglia","Undeclared","155","145","30400","27570"
"In post","2022","Declared disabled","East Anglia","Unknown","75","65","27160","27570"
"In post","2022","Declared disabled","East Wales","Heterosexual / straight","1410","1300","32410","27990"
"In post","2022","Declared disabled","East Wales","LGBO","195","190","32300","27570"
"In post","2022","Declared disabled","East Wales","Undeclared","180","170","32280","27610"
"In post","2022","Declared disabled","East Wales","Unknown","110","90","30220","27570"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","420","375","28020","27380"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","LGBO","45","45","27070","26330"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Undeclared","55","50","27510","27280"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Unknown","30","25","[c]","[c]"
"In post","2022","Declared disabled","Eastern Scotland","Heterosexual / straight","1380","1285","34320","30040"
"In post","2022","Declared disabled","Eastern Scotland","LGBO","260","250","33100","27570"
"In post","2022","Declared disabled","Eastern Scotland","Undeclared","150","140","33470","27570"
"In post","2022","Declared disabled","Eastern Scotland","Unknown","265","245","32510","30450"
"In post","2022","Declared disabled","Essex","Heterosexual / straight","500","450","30340","29290"
"In post","2022","Declared disabled","Essex","LGBO","55","55","30330","29290"
"In post","2022","Declared disabled","Essex","Undeclared","75","65","29560","28920"
"In post","2022","Declared disabled","Essex","Unknown","55","50","30580","29290"
"In post","2022","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","2230","2100","34920","32600"
"In post","2022","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","240","235","31900","28680"
"In post","2022","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","370","345","35880","33300"
"In post","2022","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","185","175","35850","33000"
"In post","2022","Declared disabled","Greater Manchester","Heterosexual / straight","1720","1580","31220","27570"
"In post","2022","Declared disabled","Greater Manchester","LGBO","260","250","31100","27570"
"In post","2022","Declared disabled","Greater Manchester","Undeclared","255","230","29630","27570"
"In post","2022","Declared disabled","Greater Manchester","Unknown","165","145","29840","27570"
"In post","2022","Declared disabled","Hampshire and Isle of Wight","Heterosexual / straight","1230","1110","30780","27570"
"In post","2022","Declared disabled","Hampshire and Isle of Wight","LGBO","125","120","29740","27570"
"In post","2022","Declared disabled","Hampshire and Isle of Wight","Undeclared","175","155","30300","27570"
"In post","2022","Declared disabled","Hampshire and Isle of Wight","Unknown","125","110","30780","27570"
"In post","2022","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Heterosexual / straight","370","335","28960","27570"
"In post","2022","Declared disabled","Herefordshire, Worcestershire and Warwickshire","LGBO","35","35","28340","25700"
"In post","2022","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Undeclared","50","45","28380","26670"
"In post","2022","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Unknown","25","20","[c]","[c]"
"In post","2022","Declared disabled","Highlands and Islands","Heterosexual / straight","135","120","28120","27570"
"In post","2022","Declared disabled","Highlands and Islands","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Highlands and Islands","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Highlands and Islands","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Inner London - East","Heterosexual / straight","1300","1230","38890","33440"
"In post","2022","Declared disabled","Inner London - East","LGBO","190","185","39870","34550"
"In post","2022","Declared disabled","Inner London - East","Undeclared","215","205","38870","33060"
"In post","2022","Declared disabled","Inner London - East","Unknown","155","140","35950","31880"
"In post","2022","Declared disabled","Inner London - West","Heterosexual / straight","3970","3835","45520","40650"
"In post","2022","Declared disabled","Inner London - West","LGBO","780","765","45370","40550"
"In post","2022","Declared disabled","Inner London - West","Undeclared","480","465","45520","40230"
"In post","2022","Declared disabled","Inner London - West","Unknown","225","210","43860","39130"
"In post","2022","Declared disabled","Kent","Heterosexual / straight","755","700","29680","29230"
"In post","2022","Declared disabled","Kent","LGBO","75","70","29840","29290"
"In post","2022","Declared disabled","Kent","Undeclared","110","105","30500","27370"
"In post","2022","Declared disabled","Kent","Unknown","50","45","31430","29290"
"In post","2022","Declared disabled","Lancashire","Heterosexual / straight","1540","1380","28090","27570"
"In post","2022","Declared disabled","Lancashire","LGBO","150","145","27580","27570"
"In post","2022","Declared disabled","Lancashire","Undeclared","200","180","27420","27130"
"In post","2022","Declared disabled","Lancashire","Unknown","175","150","26870","26820"
"In post","2022","Declared disabled","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","605","540","27160","26830"
"In post","2022","Declared disabled","Leicestershire, Rutland and Northamptonshire","LGBO","65","60","27500","27570"
"In post","2022","Declared disabled","Leicestershire, Rutland and Northamptonshire","Undeclared","85","75","28780","27130"
"In post","2022","Declared disabled","Leicestershire, Rutland and Northamptonshire","Unknown","55","45","24910","22600"
"In post","2022","Declared disabled","Lincolnshire","Heterosexual / straight","325","300","28520","27570"
"In post","2022","Declared disabled","Lincolnshire","LGBO","30","30","29870","27570"
"In post","2022","Declared disabled","Lincolnshire","Undeclared","45","40","27330","27570"
"In post","2022","Declared disabled","Lincolnshire","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Merseyside","Heterosexual / straight","1940","1750","29040","26820"
"In post","2022","Declared disabled","Merseyside","LGBO","170","160","28860","26820"
"In post","2022","Declared disabled","Merseyside","Undeclared","205","180","28150","26780"
"In post","2022","Declared disabled","Merseyside","Unknown","180","150","26390","22600"
"In post","2022","Declared disabled","North Eastern Scotland","Heterosexual / straight","90","85","33660","27570"
"In post","2022","Declared disabled","North Eastern Scotland","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","North Eastern Scotland","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","North Eastern Scotland","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","North Yorkshire","Heterosexual / straight","375","350","32120","28200"
"In post","2022","Declared disabled","North Yorkshire","LGBO","50","50","29410","27570"
"In post","2022","Declared disabled","North Yorkshire","Undeclared","50","45","32360","27570"
"In post","2022","Declared disabled","North Yorkshire","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland","Heterosexual / straight","270","250","29470","26820"
"In post","2022","Declared disabled","Northern Ireland","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Northumberland, and Tyne and Wear","Heterosexual / straight","2010","1780","28360","26820"
"In post","2022","Declared disabled","Northumberland, and Tyne and Wear","LGBO","185","175","28590","26820"
"In post","2022","Declared disabled","Northumberland, and Tyne and Wear","Undeclared","200","175","29090","26820"
"In post","2022","Declared disabled","Northumberland, and Tyne and Wear","Unknown","205","170","26170","22080"
"In post","2022","Declared disabled","Outer London - East and North East","Heterosexual / straight","395","365","30920","31060"
"In post","2022","Declared disabled","Outer London - East and North East","LGBO","35","35","31330","31060"
"In post","2022","Declared disabled","Outer London - East and North East","Undeclared","60","55","30530","30780"
"In post","2022","Declared disabled","Outer London - East and North East","Unknown","45","40","31510","31060"
"In post","2022","Declared disabled","Outer London - South","Heterosexual / straight","905","850","37460","33020"
"In post","2022","Declared disabled","Outer London - South","LGBO","90","85","40390","35050"
"In post","2022","Declared disabled","Outer London - South","Undeclared","145","135","36710","32880"
"In post","2022","Declared disabled","Outer London - South","Unknown","65","60","35420","31150"
