"Status","Year","Age","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","55","50","22140","21260"
"In post","2022","16-19","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Policy","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Tax","10","5","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","[c]","[c]","[c]","[c]"
