"Status","Year","Disability","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","AA/AO","Heterosexual / straight","150","135","22700","22200"
"In post","2022","Declared disabled","Attorney General's Departments","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","EO","Heterosexual / straight","160","145","28130","28430"
"In post","2022","Declared disabled","Attorney General's Departments","EO","LGBO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","EO","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","G6/G7","Heterosexual / straight","360","335","58850","55610"
"In post","2022","Declared disabled","Attorney General's Departments","G6/G7","LGBO","40","40","58290","55610"
"In post","2022","Declared disabled","Attorney General's Departments","G6/G7","Undeclared","30","30","59540","55610"
"In post","2022","Declared disabled","Attorney General's Departments","G6/G7","Unknown","50","45","59120","56560"
"In post","2022","Declared disabled","Attorney General's Departments","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","SEO/HEO","Heterosexual / straight","125","120","36500","36020"
"In post","2022","Declared disabled","Attorney General's Departments","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","SEO/HEO","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","AA/AO","Heterosexual / straight","60","55","21760","21050"
"In post","2022","Declared disabled","Cabinet Office","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","EO","Heterosexual / straight","105","100","26840","27500"
"In post","2022","Declared disabled","Cabinet Office","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","G6/G7","Heterosexual / straight","220","215","57950","54700"
"In post","2022","Declared disabled","Cabinet Office","G6/G7","LGBO","55","55","56460","54700"
"In post","2022","Declared disabled","Cabinet Office","G6/G7","Undeclared","30","30","57860","56600"
"In post","2022","Declared disabled","Cabinet Office","G6/G7","Unknown","[c]","[c]","[c]","[c]"
