"Status","Year","Age","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Delivery","25","20","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Science and Engineering","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Counter Fraud","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Economics","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
