"Status","Year","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Female","Heterosexual / straight","189595","173035","33590","28920"
"In post","2022","Female","LGBO","11000","10615","33310","29290"
"In post","2022","Female","Undeclared","22300","20025","33340","28650"
"In post","2022","Female","Unknown","55160","49505","31860","27570"
"In post","2022","Male","Heterosexual / straight","149640","145375","36220","31880"
"In post","2022","Male","LGBO","11040","10815","36510","31660"
"In post","2022","Male","Undeclared","20945","20105","36820","32960"
"In post","2022","Male","Unknown","50385","48595","34760","30750"
"In post","2022","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Heterosexual / straight","12890","[c]","32070","27570"
"Leaver CS","2022","Female","LGBO","990","[c]","30300","27570"
"Leaver CS","2022","Female","Undeclared","1890","[c]","31680","27570"
"Leaver CS","2022","Female","Unknown","7650","[c]","31360","27130"
"Leaver CS","2022","Male","Heterosexual / straight","11225","[c]","34700","29070"
"Leaver CS","2022","Male","LGBO","865","[c]","33480","27570"
"Leaver CS","2022","Male","Undeclared","1700","[c]","36210","31520"
"Leaver CS","2022","Male","Unknown","6995","[c]","34630","28980"
"Leaver CS","2022","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Heterosexual / straight","8650","[c]","37140","32260"
"Leaver Dept.","2022","Female","LGBO","610","[c]","35990","32330"
"Leaver Dept.","2022","Female","Undeclared","1535","[c]","39290","34290"
"Leaver Dept.","2022","Female","Unknown","3155","[c]","39560","32470"
"Leaver Dept.","2022","Male","Heterosexual / straight","5350","[c]","39410","33300"
"Leaver Dept.","2022","Male","LGBO","675","[c]","38510","33250"
"Leaver Dept.","2022","Male","Undeclared","1180","[c]","41300","35980"
"Leaver Dept.","2022","Male","Unknown","2500","[c]","41330","34550"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Heterosexual / straight","22875","[c]","29320","26970"
"New entrant CS","2022","Female","LGBO","2395","[c]","28410","26370"
"New entrant CS","2022","Female","Undeclared","1900","[c]","31170","27570"
"New entrant CS","2022","Female","Unknown","12250","[c]","28290","25330"
"New entrant CS","2022","Male","Heterosexual / straight","16675","[c]","30750","27570"
"New entrant CS","2022","Male","LGBO","1840","[c]","29890","27500"
"New entrant CS","2022","Male","Undeclared","1460","[c]","32540","28970"
"New entrant CS","2022","Male","Unknown","10005","[c]","29790","26590"
"New entrant CS","2022","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
