"Status","Year","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","AA/AO","Female","1110","995","22720","22200"
"In post","2022","Attorney General's Departments","AA/AO","Male","420","410","22720","22200"
"In post","2022","Attorney General's Departments","EO","Female","1360","1250","27790","27580"
"In post","2022","Attorney General's Departments","EO","Male","515","510","27910","27580"
"In post","2022","Attorney General's Departments","G6/G7","Female","3140","2820","57490","55610"
"In post","2022","Attorney General's Departments","G6/G7","Male","1890","1835","59330","57770"
"In post","2022","Attorney General's Departments","SCS level","Female","185","175","86970","82060"
"In post","2022","Attorney General's Departments","SCS level","Male","130","125","87560","82720"
"In post","2022","Attorney General's Departments","SEO/HEO","Female","890","855","36220","36240"
"In post","2022","Attorney General's Departments","SEO/HEO","Male","565","560","36390","36240"
"In post","2022","Cabinet Office","AA/AO","Female","290","260","21780","21050"
"In post","2022","Cabinet Office","AA/AO","Male","205","200","21860","21050"
"In post","2022","Cabinet Office","EO","Female","640","610","26550","26670"
"In post","2022","Cabinet Office","EO","Male","415","410","26600","27500"
"In post","2022","Cabinet Office","G6/G7","Female","2000","1950","59280","56160"
"In post","2022","Cabinet Office","G6/G7","Male","2005","1995","60580","57850"
"In post","2022","Cabinet Office","SCS level","Female","320","310","94260","85060"
"In post","2022","Cabinet Office","SCS level","Male","450","450","104410","95000"
"In post","2022","Cabinet Office","SEO/HEO","Female","2655","2605","33890","33110"
"In post","2022","Cabinet Office","SEO/HEO","Male","2065","2055","34250","33300"
"In post","2022","Chancellor's other departments","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","Female","20","20","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","Male","20","20","[c]","[c]"
"In post","2022","Chancellor's other departments","G6/G7","Female","80","70","72800","69690"
"In post","2022","Chancellor's other departments","G6/G7","Male","125","120","77180","66210"
"In post","2022","Chancellor's other departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
