"Status","Year","Age","Disability","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Economics","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Internal Audit","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Legal","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Delivery","Wales","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Operational Research","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Policy","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Policy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Policy","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
