"Status","Year","Age","Disability","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Female","15","15","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Male","20","20","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","Female","40","40","23670","23870"
"In post","2022","16-19","Declared non-disabled","Asian","Male","50","45","22500","21260"
"In post","2022","16-19","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","Female","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","Male","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Female","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Male","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","White","Female","280","275","22200","21260"
"In post","2022","16-19","Declared non-disabled","White","Male","245","240","21410","21260"
"In post","2022","16-19","Declared non-disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","Female","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","White","Male","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
