"Status","Year","Disability","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","London","AA/AO","Heterosexual / straight","990","905","25350","25110"
"In post","2022","Declared disabled","London","AA/AO","LGBO","85","80","26620","25110"
"In post","2022","Declared disabled","London","AA/AO","Undeclared","140","120","24970","25110"
"In post","2022","Declared disabled","London","AA/AO","Unknown","110","95","25550","25110"
"In post","2022","Declared disabled","London","EO","Heterosexual / straight","1775","1665","30340","30750"
"In post","2022","Declared disabled","London","EO","LGBO","235","230","30020","30460"
"In post","2022","Declared disabled","London","EO","Undeclared","280","255","30230","30500"
"In post","2022","Declared disabled","London","EO","Unknown","185","165","30760","31060"
"In post","2022","Declared disabled","London","G6/G7","Heterosexual / straight","1645","1580","60590","59330"
"In post","2022","Declared disabled","London","G6/G7","LGBO","315","310","58740","57320"
"In post","2022","Declared disabled","London","G6/G7","Undeclared","215","210","61230","60330"
"In post","2022","Declared disabled","London","G6/G7","Unknown","95","90","62050","62120"
"In post","2022","Declared disabled","London","SCS level","Heterosexual / straight","220","210","91130","82350"
"In post","2022","Declared disabled","London","SCS level","LGBO","45","45","87540","77450"
"In post","2022","Declared disabled","London","SCS level","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","London","SEO/HEO","Heterosexual / straight","2270","2200","39100","38540"
"In post","2022","Declared disabled","London","SEO/HEO","LGBO","435","425","37920","37450"
"In post","2022","Declared disabled","London","SEO/HEO","Undeclared","315","305","38980","38370"
"In post","2022","Declared disabled","London","SEO/HEO","Unknown","130","125","38810","38600"
"In post","2022","Declared disabled","London","Unknown","Heterosexual / straight","330","315","34770","34100"
"In post","2022","Declared disabled","London","Unknown","LGBO","35","35","36700","34100"
"In post","2022","Declared disabled","London","Unknown","Undeclared","45","45","36780","33700"
"In post","2022","Declared disabled","London","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Outside London","AA/AO","Heterosexual / straight","10430","9125","22130","21260"
"In post","2022","Declared disabled","Outside London","AA/AO","LGBO","1125","1060","22540","21260"
"In post","2022","Declared disabled","Outside London","AA/AO","Undeclared","1580","1350","22040","21260"
"In post","2022","Declared disabled","Outside London","AA/AO","Unknown","1240","1035","22210","21260"
"In post","2022","Declared disabled","Outside London","EO","Heterosexual / straight","10250","9240","27490","27570"
"In post","2022","Declared disabled","Outside London","EO","LGBO","1090","1040","27310","27570"
"In post","2022","Declared disabled","Outside London","EO","Undeclared","1390","1240","27550","27570"
"In post","2022","Declared disabled","Outside London","EO","Unknown","985","860","28400","27570"
"In post","2022","Declared disabled","Outside London","G6/G7","Heterosexual / straight","2285","2195","57140","55210"
"In post","2022","Declared disabled","Outside London","G6/G7","LGBO","255","245","56890","55210"
"In post","2022","Declared disabled","Outside London","G6/G7","Undeclared","290","280","58010","55210"
"In post","2022","Declared disabled","Outside London","G6/G7","Unknown","180","165","56200","55210"
"In post","2022","Declared disabled","Outside London","SCS level","Heterosexual / straight","145","140","88260","80000"
"In post","2022","Declared disabled","Outside London","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Outside London","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Outside London","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Outside London","SEO/HEO","Heterosexual / straight","7515","7115","36420","34760"
"In post","2022","Declared disabled","Outside London","SEO/HEO","LGBO","920","890","35160","33630"
"In post","2022","Declared disabled","Outside London","SEO/HEO","Undeclared","970","920","36560","35310"
"In post","2022","Declared disabled","Outside London","SEO/HEO","Unknown","530","490","36520","35890"
"In post","2022","Declared disabled","Outside London","Unknown","Heterosexual / straight","2530","2345","30750","28200"
"In post","2022","Declared disabled","Outside London","Unknown","LGBO","275","270","29230","26310"
"In post","2022","Declared disabled","Outside London","Unknown","Undeclared","245","230","31870","31510"
"In post","2022","Declared disabled","Outside London","Unknown","Unknown","45","40","31870","30210"
"In post","2022","Declared disabled","Overseas","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","G6/G7","Heterosexual / straight","70","70","60720","58660"
"In post","2022","Declared disabled","Overseas","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Overseas","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Overseas","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Overseas","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","SEO/HEO","Heterosexual / straight","75","75","36340","34350"
"In post","2022","Declared disabled","Overseas","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Overseas","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","AA/AO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Declared disabled","Unknown","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","EO","Heterosexual / straight","45","40","28410","27570"
"In post","2022","Declared disabled","Unknown","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","London","AA/AO","Heterosexual / straight","5795","5390","26070","25110"
"In post","2022","Declared non-disabled","London","AA/AO","LGBO","265","260","26940","25110"
"In post","2022","Declared non-disabled","London","AA/AO","Undeclared","625","565","25180","25110"
"In post","2022","Declared non-disabled","London","AA/AO","Unknown","805","690","25100","25060"
"In post","2022","Declared non-disabled","London","EO","Heterosexual / straight","10920","10405","30050","30370"
"In post","2022","Declared non-disabled","London","EO","LGBO","565","550","29790","30110"
"In post","2022","Declared non-disabled","London","EO","Undeclared","1085","1000","30120","30330"
"In post","2022","Declared non-disabled","London","EO","Unknown","1315","1195","30810","31060"
"In post","2022","Declared non-disabled","London","G6/G7","Heterosexual / straight","15755","15205","60730","58710"
"In post","2022","Declared non-disabled","London","G6/G7","LGBO","1315","1295","59680","57470"
"In post","2022","Declared non-disabled","London","G6/G7","Undeclared","1365","1315","61420","59540"
"In post","2022","Declared non-disabled","London","G6/G7","Unknown","950","895","61900","62020"
"In post","2022","Declared non-disabled","London","SCS level","Heterosexual / straight","2635","2535","89730","81600"
"In post","2022","Declared non-disabled","London","SCS level","LGBO","190","185","87820","79690"
"In post","2022","Declared non-disabled","London","SCS level","Undeclared","175","170","88860","82020"
"In post","2022","Declared non-disabled","London","SCS level","Unknown","150","145","96290","86720"
"In post","2022","Declared non-disabled","London","SEO/HEO","Heterosexual / straight","17920","17515","39090","38540"
"In post","2022","Declared non-disabled","London","SEO/HEO","LGBO","1330","1320","38510","37930"
"In post","2022","Declared non-disabled","London","SEO/HEO","Undeclared","1640","1595","39310","39000"
"In post","2022","Declared non-disabled","London","SEO/HEO","Unknown","1080","1040","39790","38910"
"In post","2022","Declared non-disabled","London","Unknown","Heterosexual / straight","1290","1245","34710","34100"
"In post","2022","Declared non-disabled","London","Unknown","LGBO","75","75","35150","32090"
"In post","2022","Declared non-disabled","London","Unknown","Undeclared","90","85","38370","36580"
"In post","2022","Declared non-disabled","London","Unknown","Unknown","40","40","35940","36580"
"In post","2022","Declared non-disabled","Outside London","AA/AO","Heterosexual / straight","60525","54930","22590","21260"
"In post","2022","Declared non-disabled","Outside London","AA/AO","LGBO","3285","3155","22850","21260"
"In post","2022","Declared non-disabled","Outside London","AA/AO","Undeclared","5680","4955","22290","21260"
"In post","2022","Declared non-disabled","Outside London","AA/AO","Unknown","9715","8125","22320","21260"
"In post","2022","Declared non-disabled","Outside London","EO","Heterosexual / straight","56265","52215","27320","27570"
"In post","2022","Declared non-disabled","Outside London","EO","LGBO","2925","2840","27280","27570"
"In post","2022","Declared non-disabled","Outside London","EO","Undeclared","5220","4745","27530","27570"
"In post","2022","Declared non-disabled","Outside London","EO","Unknown","8440","7345","27640","27570"
"In post","2022","Declared non-disabled","Outside London","G6/G7","Heterosexual / straight","21530","20750","58100","55210"
"In post","2022","Declared non-disabled","Outside London","G6/G7","LGBO","975","955","57400","55210"
"In post","2022","Declared non-disabled","Outside London","G6/G7","Undeclared","1615","1555","58350","55610"
"In post","2022","Declared non-disabled","Outside London","G6/G7","Unknown","3250","3075","56040","55210"
"In post","2022","Declared non-disabled","Outside London","SCS level","Heterosexual / straight","1460","1420","89340","83230"
"In post","2022","Declared non-disabled","Outside London","SCS level","LGBO","70","70","83880","78730"
"In post","2022","Declared non-disabled","Outside London","SCS level","Undeclared","80","75","90860","83230"
"In post","2022","Declared non-disabled","Outside London","SCS level","Unknown","110","105","89440","83230"
"In post","2022","Declared non-disabled","Outside London","SEO/HEO","Heterosexual / straight","57570","55090","36660","35310"
"In post","2022","Declared non-disabled","Outside London","SEO/HEO","LGBO","2810","2755","35840","33930"
"In post","2022","Declared non-disabled","Outside London","SEO/HEO","Undeclared","4815","4560","37400","36460"
"In post","2022","Declared non-disabled","Outside London","SEO/HEO","Unknown","6040","5710","36280","35600"
"In post","2022","Declared non-disabled","Outside London","Unknown","Heterosexual / straight","10305","9625","31210","28200"
"In post","2022","Declared non-disabled","Outside London","Unknown","LGBO","560","540","29130","24800"
"In post","2022","Declared non-disabled","Outside London","Unknown","Undeclared","600","550","33290","32690"
"In post","2022","Declared non-disabled","Outside London","Unknown","Unknown","275","245","32740","34340"
"In post","2022","Declared non-disabled","Overseas","AA/AO","Heterosexual / straight","50","50","22100","22200"
"In post","2022","Declared non-disabled","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","EO","Heterosexual / straight","170","170","27540","26870"
"In post","2022","Declared non-disabled","Overseas","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","EO","Undeclared","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","G6/G7","Heterosexual / straight","705","700","59710","57740"
"In post","2022","Declared non-disabled","Overseas","G6/G7","LGBO","60","60","57070","54500"
"In post","2022","Declared non-disabled","Overseas","G6/G7","Undeclared","60","60","60020","58850"
"In post","2022","Declared non-disabled","Overseas","G6/G7","Unknown","35","35","58050","56370"
