"Status","Year","Ethnicity","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Commercial","Female","Heterosexual / straight","145","135","37640","34860"
"In post","2022","Asian","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Male","Heterosexual / straight","115","115","40350","37770"
"In post","2022","Asian","Commercial","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Female","Heterosexual / straight","105","105","40310","37930"
"In post","2022","Asian","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Male","Heterosexual / straight","60","60","39380","37090"
"In post","2022","Asian","Communications","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Female","Heterosexual / straight","275","245","27430","27570"
"In post","2022","Asian","Counter Fraud","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Female","Undeclared","30","25","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Female","Unknown","60","45","27080","25110"
"In post","2022","Asian","Counter Fraud","Male","Heterosexual / straight","215","210","29710","27570"
"In post","2022","Asian","Counter Fraud","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Male","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Female","Heterosexual / straight","425","415","42930","39960"
"In post","2022","Asian","Digital, Data and Technology","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Female","Undeclared","40","40","42250","40780"
"In post","2022","Asian","Digital, Data and Technology","Female","Unknown","45","45","41470","39980"
"In post","2022","Asian","Digital, Data and Technology","Male","Heterosexual / straight","735","730","42940","39930"
"In post","2022","Asian","Digital, Data and Technology","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Male","Undeclared","40","40","43350","41340"
"In post","2022","Asian","Digital, Data and Technology","Male","Unknown","80","80","44030","40300"
"In post","2022","Asian","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Female","Heterosexual / straight","80","75","41350","35140"
"In post","2022","Asian","Economics","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Economics","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Economics","Male","Heterosexual / straight","110","110","45240","39640"
"In post","2022","Asian","Economics","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Economics","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Economics","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Female","Heterosexual / straight","425","405","40080","36820"
"In post","2022","Asian","Finance","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Finance","Female","Undeclared","30","30","36000","33600"
"In post","2022","Asian","Finance","Female","Unknown","35","35","37920","35260"
"In post","2022","Asian","Finance","Male","Heterosexual / straight","445","445","41330","37930"
"In post","2022","Asian","Finance","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Finance","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Finance","Male","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Female","Heterosexual / straight","355","340","38430","35060"
"In post","2022","Asian","Human Resources","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Female","Undeclared","20","15","[c]","[c]"
"In post","2022","Asian","Human Resources","Female","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","Male","Heterosexual / straight","140","135","36500","33300"
"In post","2022","Asian","Human Resources","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Unknown","Undeclared","[c]","[c]","[c]","[c]"
