"Status","Year","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Heterosexual / straight","4450","4290","40280","37400"
"In post","2022","Commercial","LGBO","260","255","37580","34500"
"In post","2022","Commercial","Undeclared","645","620","41240","39560"
"In post","2022","Commercial","Unknown","845","810","37570","34900"
"In post","2022","Communications","Heterosexual / straight","2750","2650","42500","39020"
"In post","2022","Communications","LGBO","245","245","41030","38160"
"In post","2022","Communications","Undeclared","455","440","42620","39180"
"In post","2022","Communications","Unknown","715","700","42480","38750"
"In post","2022","Corporate Finance","Heterosexual / straight","70","70","53890","47570"
"In post","2022","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Undeclared","10","10","[c]","[c]"
"In post","2022","Corporate Finance","Unknown","65","60","42800","38580"
"In post","2022","Counter Fraud","Heterosexual / straight","4370","3970","29230","27570"
"In post","2022","Counter Fraud","LGBO","225","215","29010","27570"
"In post","2022","Counter Fraud","Undeclared","595","530","28600","27570"
"In post","2022","Counter Fraud","Unknown","1395","1220","29490","27570"
"In post","2022","Digital, Data and Technology","Heterosexual / straight","13215","12855","42280","38880"
"In post","2022","Digital, Data and Technology","LGBO","850","835","40690","36750"
"In post","2022","Digital, Data and Technology","Undeclared","1985","1935","41850","38650"
"In post","2022","Digital, Data and Technology","Unknown","3960","3870","41990","38270"
"In post","2022","Economics","Heterosexual / straight","1420","1390","48430","48500"
"In post","2022","Economics","LGBO","140","140","44610","39890"
"In post","2022","Economics","Undeclared","180","175","47630","46050"
"In post","2022","Economics","Unknown","345","340","44880","37610"
"In post","2022","Finance","Heterosexual / straight","9110","8760","40600","36500"
"In post","2022","Finance","LGBO","395","385","41530","36820"
"In post","2022","Finance","Undeclared","1300","1255","40530","36820"
"In post","2022","Finance","Unknown","1520","1450","39230","36050"
"In post","2022","Geography","Heterosexual / straight","315","300","31950","33290"
"In post","2022","Geography","LGBO","15","15","[c]","[c]"
"In post","2022","Geography","Undeclared","40","35","31420","29290"
"In post","2022","Geography","Unknown","120","115","30400","29200"
"In post","2022","Human Resources","Heterosexual / straight","7335","6955","39390","35200"
"In post","2022","Human Resources","LGBO","505","495","40090","35310"
