"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Heterosexual / straight","65","65","43530","39430"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Bedfordshire and Hertfordshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","East of England","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","East Anglia","Heterosexual / straight","130","125","37260","34800"
"In post","2022","Commercial","East of England","East Anglia","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","East Anglia","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","East of England","East Anglia","Unknown","25","25","[c]","[c]"
"In post","2022","Commercial","East of England","Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Essex","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Inner London - East","Heterosexual / straight","65","65","45270","43020"
"In post","2022","Commercial","London","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Inner London - East","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","London","Inner London - East","Unknown","20","20","[c]","[c]"
"In post","2022","Commercial","London","Inner London - West","Heterosexual / straight","515","505","48350","42870"
"In post","2022","Commercial","London","Inner London - West","LGBO","50","50","45080","41750"
"In post","2022","Commercial","London","Inner London - West","Undeclared","130","130","47850","43440"
"In post","2022","Commercial","London","Inner London - West","Unknown","120","115","46390","41620"
"In post","2022","Commercial","London","Outer London - East and North East","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","London","Outer London - East and North East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Outer London - East and North East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Outer London - South","Heterosexual / straight","80","80","44780","43270"
"In post","2022","Commercial","London","Outer London - South","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Outer London - South","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","London","Outer London - South","Unknown","20","20","[c]","[c]"
"In post","2022","Commercial","London","Outer London - West and North West","Heterosexual / straight","35","35","39620","34370"
"In post","2022","Commercial","London","Outer London - West and North West","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","London","Outer London - West and North West","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","London","Outer London - West and North West","Unknown","20","15","[c]","[c]"
