"Status","Year","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","AA/AO","AA","Male","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","AA/AO","AO","Female","1110","995","22720","22200"
"In post","2022","Attorney General's Departments","AA/AO","AO","Male","405","395","22810","22200"
"In post","2022","Attorney General's Departments","EO","EO","Female","1360","1250","27790","27580"
"In post","2022","Attorney General's Departments","EO","EO","Male","515","510","27910","27580"
"In post","2022","Attorney General's Departments","G6/G7","G6","Female","680","610","67900","66290"
"In post","2022","Attorney General's Departments","G6/G7","G6","Male","480","470","70080","67680"
"In post","2022","Attorney General's Departments","G6/G7","G7","Female","2460","2215","54610","53050"
"In post","2022","Attorney General's Departments","G6/G7","G7","Male","1410","1365","55670","54810"
"In post","2022","Attorney General's Departments","SCS level","SCS level","Female","185","175","86970","82060"
"In post","2022","Attorney General's Departments","SCS level","SCS level","Male","130","125","87560","82720"
"In post","2022","Attorney General's Departments","SEO/HEO","HEO","Female","670","640","35010","33900"
"In post","2022","Attorney General's Departments","SEO/HEO","HEO","Male","380","375","34460","33310"
"In post","2022","Attorney General's Departments","SEO/HEO","SEO","Female","220","215","39910","39750"
"In post","2022","Attorney General's Departments","SEO/HEO","SEO","Male","185","180","40390","40000"
"In post","2022","Cabinet Office","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA/AO","AO","Female","290","260","21780","21050"
"In post","2022","Cabinet Office","AA/AO","AO","Male","205","200","21860","21050"
"In post","2022","Cabinet Office","EO","EO","Female","640","610","26550","26670"
"In post","2022","Cabinet Office","EO","EO","Male","415","410","26600","27500"
"In post","2022","Cabinet Office","G6/G7","G6","Female","555","545","68550","64660"
"In post","2022","Cabinet Office","G6/G7","G6","Male","580","575","70040","66440"
"In post","2022","Cabinet Office","G6/G7","G7","Female","1445","1405","55720","54700"
"In post","2022","Cabinet Office","G6/G7","G7","Male","1430","1420","56750","54700"
"In post","2022","Cabinet Office","SCS level","SCS level","Female","320","310","94260","85060"
"In post","2022","Cabinet Office","SCS level","SCS level","Male","450","450","104410","95000"
"In post","2022","Cabinet Office","SEO/HEO","HEO","Female","1900","1870","31530","32000"
"In post","2022","Cabinet Office","SEO/HEO","HEO","Male","1465","1460","31880","32000"
"In post","2022","Cabinet Office","SEO/HEO","SEO","Female","755","730","39870","40600"
"In post","2022","Cabinet Office","SEO/HEO","SEO","Male","600","595","40040","40600"
"In post","2022","Chancellor's other departments","AA/AO","AO","Female","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","AA/AO","AO","Male","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","EO","Female","20","20","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","EO","Male","20","20","[c]","[c]"
"In post","2022","Chancellor's other departments","G6/G7","G6","Female","50","45","82950","78140"
"In post","2022","Chancellor's other departments","G6/G7","G6","Male","70","65","94440","89720"
"In post","2022","Chancellor's other departments","G6/G7","G7","Female","30","30","[c]","[c]"
"In post","2022","Chancellor's other departments","G6/G7","G7","Male","55","55","55920","57250"
"In post","2022","Chancellor's other departments","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SCS level","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","SCS level","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","SEO/HEO","HEO","Female","30","30","[c]","[c]"
"In post","2022","Chancellor's other departments","SEO/HEO","HEO","Male","45","45","36080","35710"
"In post","2022","Chancellor's other departments","SEO/HEO","SEO","Female","40","40","45500","44840"
"In post","2022","Chancellor's other departments","SEO/HEO","SEO","Male","30","30","45520","45410"
"In post","2022","Charity Commission","AA/AO","AO","Female","20","15","[c]","[c]"
"In post","2022","Charity Commission","AA/AO","AO","Male","10","10","[c]","[c]"
"In post","2022","Charity Commission","EO","EO","Female","75","70","25080","24440"
"In post","2022","Charity Commission","EO","EO","Male","40","40","25090","24440"
"In post","2022","Charity Commission","G6/G7","G6","Female","10","10","[c]","[c]"
"In post","2022","Charity Commission","G6/G7","G6","Male","10","10","[c]","[c]"
"In post","2022","Charity Commission","G6/G7","G7","Female","40","35","51320","51070"
"In post","2022","Charity Commission","G6/G7","G7","Male","10","10","[c]","[c]"
"In post","2022","Charity Commission","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SEO/HEO","HEO","Female","90","80","29240","29160"
"In post","2022","Charity Commission","SEO/HEO","HEO","Male","60","60","29190","29160"
"In post","2022","Charity Commission","SEO/HEO","SEO","Female","55","50","37300","37910"
"In post","2022","Charity Commission","SEO/HEO","SEO","Male","45","45","37890","37910"
"In post","2022","Competition and Markets Authority","AA/AO","AO","Female","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","AA/AO","AO","Male","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","EO","EO","Female","35","35","27840","27920"
"In post","2022","Competition and Markets Authority","EO","EO","Male","30","30","28570","28160"
"In post","2022","Competition and Markets Authority","G6/G7","G6","Female","100","90","75930","75140"
