"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","EO","20","20","28840","29000"
"In post","2022","Analysis","Digital, Data and Technology","G6","15","15","66660","64970"
"In post","2022","Analysis","Digital, Data and Technology","G7","45","40","53110","53360"
"In post","2022","Analysis","Digital, Data and Technology","HEO","35","35","33880","33410"
"In post","2022","Analysis","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","SEO","50","45","42770","42210"
"In post","2022","Analysis","Economics","AO","50","50","20980","19860"
"In post","2022","Analysis","Economics","EO","110","110","27090","27680"
"In post","2022","Analysis","Economics","G6","140","130","71700","70140"
"In post","2022","Analysis","Economics","G7","430","415","55840","54760"
"In post","2022","Analysis","Economics","HEO","500","495","34220","33710"
"In post","2022","Analysis","Economics","SCS level","60","60","95230","85770"
"In post","2022","Analysis","Economics","SEO","80","80","41790","40650"
"In post","2022","Analysis","Finance","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","G7","20","20","57050","53200"
"In post","2022","Analysis","Finance","HEO","15","15","34990","34240"
"In post","2022","Analysis","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Geography","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","AO","10","5","[c]","[c]"
"In post","2022","Analysis","Geography","EO","15","15","27570","26670"
"In post","2022","Analysis","Geography","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","HEO","25","25","33120","33000"
"In post","2022","Analysis","Geography","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","G7","10","10","54170","53980"
"In post","2022","Analysis","Human Resources","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","SEO","10","10","41080","40050"
"In post","2022","Analysis","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","G7","15","15","56020","56360"
"In post","2022","Analysis","Intelligence Analysis","HEO","45","45","31080","30770"
"In post","2022","Analysis","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","SEO","35","30","41990","42290"
"In post","2022","Analysis","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","EO","10","5","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","G7","10","10","56550","57080"
"In post","2022","Analysis","Knowledge and Information Management","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","SEO","10","10","41400","41700"
"In post","2022","Analysis","Medicine","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","G7","10","10","54490","53360"
