"Status","Year","Parent_department","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","East Midlands (England)","AA/AO","105","100","21900","22200"
"In post","2022","Attorney General's Departments","East Midlands (England)","EO","95","90","26750","26090"
"In post","2022","Attorney General's Departments","East Midlands (England)","G6/G7","220","200","53450","51940"
"In post","2022","Attorney General's Departments","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","SEO/HEO","65","60","34920","34480"
"In post","2022","Attorney General's Departments","East of England","AA/AO","115","105","23010","23770"
"In post","2022","Attorney General's Departments","East of England","EO","115","100","28200","28430"
"In post","2022","Attorney General's Departments","East of England","G6/G7","210","190","58750","58970"
"In post","2022","Attorney General's Departments","East of England","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","SEO/HEO","70","65","37180","38000"
"In post","2022","Attorney General's Departments","London","AA/AO","430","400","23460","23770"
"In post","2022","Attorney General's Departments","London","EO","780","745","28480","27700"
"In post","2022","Attorney General's Departments","London","G6/G7","2650","2460","60150","61000"
"In post","2022","Attorney General's Departments","London","SCS level","260","245","86700","80940"
"In post","2022","Attorney General's Departments","London","SEO/HEO","690","670","37190","37730"
"In post","2022","Attorney General's Departments","North East (England)","AA/AO","85","75","22300","22200"
"In post","2022","Attorney General's Departments","North East (England)","EO","70","60","27150","27870"
"In post","2022","Attorney General's Departments","North East (England)","G6/G7","150","140","54710","55610"
"In post","2022","Attorney General's Departments","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","SEO/HEO","50","50","34760","34480"
"In post","2022","Attorney General's Departments","North West (England)","AA/AO","215","200","22090","22200"
"In post","2022","Attorney General's Departments","North West (England)","EO","225","210","27330","28430"
"In post","2022","Attorney General's Departments","North West (England)","G6/G7","430","400","55210","55610"
"In post","2022","Attorney General's Departments","North West (England)","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","SEO/HEO","135","135","34640","34480"
"In post","2022","Attorney General's Departments","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","AA/AO","160","150","23620","23770"
"In post","2022","Attorney General's Departments","South East (England)","EO","160","150","28290","27440"
"In post","2022","Attorney General's Departments","South East (England)","G6/G7","320","295","59890","60710"
"In post","2022","Attorney General's Departments","South East (England)","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","SEO/HEO","90","85","37310","39540"
"In post","2022","Attorney General's Departments","South West (England)","AA/AO","55","50","22240","22200"
"In post","2022","Attorney General's Departments","South West (England)","EO","65","60","26810","26220"
"In post","2022","Attorney General's Departments","South West (England)","G6/G7","180","165","54770","55610"
"In post","2022","Attorney General's Departments","South West (England)","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","SEO/HEO","60","55","35060","34480"
