"Status","Year","Parent_department","Region_ITL1","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","Female","205","185","38210","31010"
"In post","2022","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","Male","110","105","38650","36330"
"In post","2022","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","115","105","38260","38000"
"In post","2022","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","40","35","45620","49960"
"In post","2022","Attorney General's Departments","East Midlands (England)","Lincolnshire","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","Lincolnshire","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","Female","130","110","40460","30110"
"In post","2022","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","Male","50","50","51370","53050"
"In post","2022","Attorney General's Departments","East of England","East Anglia","Female","85","70","33330","28430"
"In post","2022","Attorney General's Departments","East of England","East Anglia","Male","45","40","44980","48080"
"In post","2022","Attorney General's Departments","East of England","Essex","Female","155","140","41220","39650"
"In post","2022","Attorney General's Departments","East of England","Essex","Male","50","50","45330","48080"
"In post","2022","Attorney General's Departments","London","Inner London - East","Female","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Inner London - East","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Inner London - West","Female","2945","2710","49790","51250"
"In post","2022","Attorney General's Departments","London","Inner London - West","Male","1715","1680","51120","51740"
"In post","2022","Attorney General's Departments","London","Outer London - East and North East","Female","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Outer London - East and North East","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Outer London - South","Female","40","40","36390","31370"
"In post","2022","Attorney General's Departments","London","Outer London - South","Male","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Outer London - West and North West","Female","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Outer London - West and North West","Male","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","Female","165","150","36560","28430"
"In post","2022","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","Male","95","90","44040","48080"
"In post","2022","Attorney General's Departments","North East (England)","Tees Valley and Durham","Female","70","60","37660","28430"
"In post","2022","Attorney General's Departments","North East (England)","Tees Valley and Durham","Male","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Cheshire","Female","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Cheshire","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Cumbria","Female","30","25","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Cumbria","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Greater Manchester","Female","250","225","39070","32500"
"In post","2022","Attorney General's Departments","North West (England)","Greater Manchester","Male","125","120","43540","48080"
"In post","2022","Attorney General's Departments","North West (England)","Lancashire","Female","120","110","38210","32480"
"In post","2022","Attorney General's Departments","North West (England)","Lancashire","Male","65","60","43580","48080"
"In post","2022","Attorney General's Departments","North West (England)","Merseyside","Female","255","235","35010","28430"
"In post","2022","Attorney General's Departments","North West (England)","Merseyside","Male","135","130","41870","48080"
"In post","2022","Attorney General's Departments","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
