"Status","Year","Ethnicity","Function_of_post","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Security","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Department for Levelling Up, Housing and Communities","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Department for Levelling Up, Housing and Communities","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Department for Transport","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Asian","Security","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Foreign, Commonwealth and Development Office","EO","10","10","[c]","[c]"
"In post","2022","Asian","Security","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Foreign, Commonwealth and Development Office","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Security","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","HM Revenue and Customs","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Security","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Ministry of Defence","AA/AO","115","110","25120","22630"
"In post","2022","Asian","Security","Ministry of Defence","EO","10","10","[c]","[c]"
"In post","2022","Asian","Security","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Ministry of Defence","SEO/HEO","25","20","[c]","[c]"
"In post","2022","Asian","Security","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Ministry of Justice","EO","5","5","[c]","[c]"
"In post","2022","Asian","Security","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Ministry of Justice","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Asian","Security","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","UK Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","UK Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Attorney General's Departments","G6/G7","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department for Environment, Food and Rural Affairs","AA/AO","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department for Work and Pensions","AA/AO","20","20","[c]","[c]"
"In post","2022","Asian","Unknown","Department for Work and Pensions","EO","35","35","28930","27570"
"In post","2022","Asian","Unknown","Department for Work and Pensions","G6/G7","20","20","[c]","[c]"
"In post","2022","Asian","Unknown","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department for Work and Pensions","SEO/HEO","75","70","36890","36650"
"In post","2022","Asian","Unknown","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Department of Health and Social Care","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Asian","Unknown","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Foreign, Commonwealth and Development Office","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Home Office","AA/AO","1090","950","23520","22460"
"In post","2022","Asian","Unknown","Home Office","EO","1820","1690","27960","28670"
"In post","2022","Asian","Unknown","Home Office","G6/G7","315","310","60980","57680"
"In post","2022","Asian","Unknown","Home Office","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Unknown","Home Office","SEO/HEO","1220","1185","37400","35200"
"In post","2022","Asian","Unknown","Home Office","Unknown","35","35","[c]","[c]"
"In post","2022","Asian","Unknown","Ministry of Defence","AA/AO","195","185","22370","21830"
"In post","2022","Asian","Unknown","Ministry of Defence","EO","60","60","29010","28410"
"In post","2022","Asian","Unknown","Ministry of Defence","G6/G7","45","40","71160","71730"
"In post","2022","Asian","Unknown","Ministry of Defence","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","Ministry of Defence","SEO/HEO","110","105","39910","40320"
"In post","2022","Asian","Unknown","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Office of the Secretary of State for Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Office of the Secretary of State for Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Office of the Secretary of State for Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Office of the Secretary of State for Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Scottish Government","AA/AO","50","45","22920","22140"
"In post","2022","Asian","Unknown","Scottish Government","EO","40","35","28290","27230"
"In post","2022","Asian","Unknown","Scottish Government","G6/G7","25","25","[c]","[c]"
"In post","2022","Asian","Unknown","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Scottish Government","SEO/HEO","95","90","38040","36130"
"In post","2022","Asian","Unknown","Welsh Government","AA/AO","15","15","[c]","[c]"
"In post","2022","Asian","Unknown","Welsh Government","EO","10","10","[c]","[c]"
"In post","2022","Asian","Unknown","Welsh Government","G6/G7","10","10","[c]","[c]"
"In post","2022","Asian","Unknown","Welsh Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Welsh Government","SEO/HEO","35","30","41260","38160"
"In post","2022","Black","Analysis","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Black","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Levelling Up, Housing and Communities","EO","5","5","[c]","[c]"
"In post","2022","Black","Analysis","Department for Levelling Up, Housing and Communities","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Levelling Up, Housing and Communities","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Black","Analysis","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department for Work and Pensions","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Black","Analysis","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department of Health and Social Care","G6/G7","10","10","[c]","[c]"
"In post","2022","Black","Analysis","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Department of Health and Social Care","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Black","Analysis","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","HM Revenue and Customs","G6/G7","5","5","[c]","[c]"
"In post","2022","Black","Analysis","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","HM Revenue and Customs","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Black","Analysis","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Ministry of Defence","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Black","Analysis","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Ministry of Justice","G6/G7","5","5","[c]","[c]"
"In post","2022","Black","Analysis","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Ministry of Justice","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Black","Analysis","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Office of Gas and Electricity Markets","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Black","Analysis","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Office of the Secretary of State for Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","UK Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","UK Statistics Authority","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Black","Analysis","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Cabinet Office","G6/G7","10","10","[c]","[c]"
"In post","2022","Black","Commercial","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Cabinet Office","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Black","Commercial","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
