"Status","Year","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Female","18710","17025","33090","29290"
"In post","2022","Asian","Male","14945","14550","34070","30450"
"In post","2022","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Female","10920","10365","33010","31020"
"In post","2022","Black","Male","6160","6040","34010","31060"
"In post","2022","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Female","5385","5050","34870","31000"
"In post","2022","Mixed","Male","3785","3705","37000","32790"
"In post","2022","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","1425","1330","35650","31060"
"In post","2022","Other ethnicity","Male","1225","1195","38120","33200"
"In post","2022","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","8290","7410","33140","28920"
"In post","2022","Undeclared","Male","11910","11440","36890","33300"
"In post","2022","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","36620","34055","32510","27570"
"In post","2022","Unknown","Male","35870","34945","34570","30210"
"In post","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","White","Female","196710","177950","33310","27770"
"In post","2022","White","Male","158110","153015","36430","31990"
"In post","2022","White","Unknown","10","10","[c]","[c]"
"Leaver CS","2022","Asian","Female","1310","[c]","32510","27680"
"Leaver CS","2022","Asian","Male","1100","[c]","34410","29290"
"Leaver CS","2022","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Female","930","[c]","31930","30370"
"Leaver CS","2022","Black","Male","525","[c]","33340","30720"
"Leaver CS","2022","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Female","525","[c]","31160","27570"
"Leaver CS","2022","Mixed","Male","355","[c]","33670","27570"
"Leaver CS","2022","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Female","145","[c]","34230","31060"
"Leaver CS","2022","Other ethnicity","Male","130","[c]","35970","31060"
