"Status","Year","Disability","Ethnicity","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Commercial","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Female","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Female","40","35","27810","27570"
"In post","2022","Declared disabled","Asian","Counter Fraud","Male","30","30","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data and Technology","Female","30","30","40780","35420"
"In post","2022","Declared disabled","Asian","Digital, Data and Technology","Male","60","60","40280","36050"
"In post","2022","Declared disabled","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Economics","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Female","30","30","39810","38060"
"In post","2022","Declared disabled","Asian","Finance","Male","35","35","42280","40670"
"In post","2022","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Geography","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Geography","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Female","50","45","39680","37000"
"In post","2022","Declared disabled","Asian","Human Resources","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Inspector of Education and Training","Female","[c]","[c]","[c]","[c]"
