"Status","Year","Function_of_post","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","London","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","Female","30","30","48410","45250"
"In post","2022","Analysis","Digital, Data and Technology","London","Male","35","35","51870","53420"
"In post","2022","Analysis","Digital, Data and Technology","Outside London","Female","55","50","39120","38520"
"In post","2022","Analysis","Digital, Data and Technology","Outside London","Male","50","50","43120","45250"
"In post","2022","Analysis","Economics","London","Female","380","365","47710","40740"
"In post","2022","Analysis","Economics","London","Male","690","685","49900","51710"
"In post","2022","Analysis","Economics","Outside London","Female","100","95","38310","33080"
"In post","2022","Analysis","Economics","Outside London","Male","195","195","39100","33370"
"In post","2022","Analysis","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","London","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Finance","London","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Finance","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Finance","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Geography","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Outside London","Female","30","30","[c]","[c]"
"In post","2022","Analysis","Geography","Outside London","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Geography","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","London","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Human Resources","London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Human Resources","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","London","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","London","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Outside London","Female","35","35","33300","30770"
"In post","2022","Analysis","Intelligence Analysis","Outside London","Male","35","35","33930","31860"
"In post","2022","Analysis","Internal Audit","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Internal Audit","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","London","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","London","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Medicine","London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Medicine","London","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Medicine","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","London","Female","90","85","42360","39940"
"In post","2022","Analysis","Operational Delivery","London","Male","80","80","44330","38370"
"In post","2022","Analysis","Operational Delivery","Outside London","Female","345","320","32550","30210"
"In post","2022","Analysis","Operational Delivery","Outside London","Male","335","330","34150","30810"
"In post","2022","Analysis","Operational Research","London","Female","115","105","50120","50660"
"In post","2022","Analysis","Operational Research","London","Male","145","140","52150","52840"
"In post","2022","Analysis","Operational Research","Outside London","Female","155","145","37300","38070"
"In post","2022","Analysis","Operational Research","Outside London","Male","300","290","42460","42310"
"In post","2022","Analysis","Operational Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","London","Female","130","120","56210","53620"
"In post","2022","Analysis","Other","London","Male","200","195","59870","53970"
"In post","2022","Analysis","Other","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Other","Outside London","Male","30","30","[c]","[c]"
"In post","2022","Analysis","Policy","London","Female","180","165","52080","53360"
"In post","2022","Analysis","Policy","London","Male","170","165","51790","53360"
"In post","2022","Analysis","Policy","Outside London","Female","120","105","44170","41990"
"In post","2022","Analysis","Policy","Outside London","Male","100","100","44250","42500"
"In post","2022","Analysis","Policy","Unknown","Female","[c]","[c]","[c]","[c]"
