"Status","Year","Age","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Male","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Economics","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Economics","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Male","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","Female","LGBO","[c]","[c]","[c]","[c]"
