"Status","Year","Organisation","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scottish Government","AA/AO","AA","30","25","23160","23230"
"In post","2022","Accountant in Bankruptcy","Scottish Government","EO","EO","40","35","29390","30040"
"In post","2022","Accountant in Bankruptcy","Scottish Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","SEO/HEO","HEO","25","25","34530","36130"
"In post","2022","Accountant in Bankruptcy","Scottish Government","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","AO","50","40","21180","21100"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","EO","320","300","25060","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","G6","10","10","70750","70950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","G7","45","45","55630","55470"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","435","405","33160","31640"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","160","150","42680","43220"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","AA","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","AO","855","800","22090","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","EO","825","785","26370","25440"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","G6","60","60","62650","61840"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","G7","175","170","51860","52290"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","475","455","31070","30430"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","505","480","39400","37840"
"In post","2022","Attorney General's Office","Attorney General's Departments","EO","EO","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","G6/G7","G6","10","10","66710","65180"
"In post","2022","Attorney General's Office","Attorney General's Departments","G6/G7","G7","10","10","52960","51250"
"In post","2022","Attorney General's Office","Attorney General's Departments","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","AO","465","430","21850","21170"
