"Status","Year","Age","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","AA/AO","Female","25","25","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","EO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","EO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","EO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","EO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","AA/AO","Female","10","10","[c]","[c]"
