"Status","Year","Function_of_post","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","London","Female","Heterosexual / straight","1210","1145","49590","46040"
"In post","2022","Analysis","London","Female","LGBO","115","110","46780","43730"
"In post","2022","Analysis","London","Female","Undeclared","170","160","49920","53160"
"In post","2022","Analysis","London","Female","Unknown","190","185","45270","41750"
"In post","2022","Analysis","London","Male","Heterosexual / straight","1415","1400","50770","46940"
"In post","2022","Analysis","London","Male","LGBO","150","150","47440","43810"
"In post","2022","Analysis","London","Male","Undeclared","205","200","52170","53200"
"In post","2022","Analysis","London","Male","Unknown","295","290","48050","41750"
"In post","2022","Analysis","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outside London","Female","Heterosexual / straight","1465","1360","38890","36840"
"In post","2022","Analysis","Outside London","Female","LGBO","170","170","35770","33080"
"In post","2022","Analysis","Outside London","Female","Undeclared","145","135","36430","33370"
"In post","2022","Analysis","Outside London","Female","Unknown","505","470","35670","33370"
"In post","2022","Analysis","Outside London","Male","Heterosexual / straight","1370","1340","39750","36840"
"In post","2022","Analysis","Outside London","Male","LGBO","120","120","35700","33000"
"In post","2022","Analysis","Outside London","Male","Undeclared","145","140","39300","36580"
"In post","2022","Analysis","Outside London","Male","Unknown","760","740","39950","38070"
"In post","2022","Analysis","Outside London","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outside London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
