"Status","Year","Parent_department","Region_ITL1","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","East Midlands (England)","Derby","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","Derby","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","East Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","Leicester","Female","105","90","37550","33310"
"In post","2022","Attorney General's Departments","East Midlands (England)","Leicester","Male","35","35","45240","49940"
"In post","2022","Attorney General's Departments","East Midlands (England)","Leicestershire CC and Rutland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","Leicestershire CC and Rutland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","Lincolnshire CC","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","Lincolnshire CC","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","North Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","North Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","North Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","North Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","Nottingham","Female","195","180","37530","30130"
"In post","2022","Attorney General's Departments","East Midlands (England)","Nottingham","Male","105","100","38390","34480"
"In post","2022","Attorney General's Departments","East Midlands (England)","South and West Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","South and West Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","South Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","South Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","West Northamptonshire","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","East Midlands (England)","West Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Cambridgeshire CC","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Cambridgeshire CC","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Essex Haven Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Essex Haven Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Essex Thames Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Essex Thames Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Heart of Essex","Female","155","135","41050","39540"
"In post","2022","Attorney General's Departments","East of England","Heart of Essex","Male","50","50","45250","48080"
"In post","2022","Attorney General's Departments","East of England","Hertfordshire CC","Female","130","110","40460","30110"
"In post","2022","Attorney General's Departments","East of England","Hertfordshire CC","Male","50","50","51010","53050"
"In post","2022","Attorney General's Departments","East of England","Luton","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Luton","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Norwich and East Norfolk","Female","50","45","30450","25480"
"In post","2022","Attorney General's Departments","East of England","Norwich and East Norfolk","Male","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Peterborough","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Peterborough","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Suffolk CC","Female","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Suffolk CC","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Thurrock","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","East of England","Thurrock","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Bexley and Greenwich","Female","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Bexley and Greenwich","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Bromley","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Bromley","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Croydon","Female","35","30","36580","31710"
"In post","2022","Attorney General's Departments","London","Croydon","Male","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Ealing","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Ealing","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Haringey and Islington","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Haringey and Islington","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Harrow and Hillingdon","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Harrow and Hillingdon","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Hounslow and Richmond upon Thames","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Hounslow and Richmond upon Thames","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Lewisham and Southwark","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Lewisham and Southwark","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Merton, Kingston upon Thames and Sutton","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Merton, Kingston upon Thames and Sutton","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Redbridge and Waltham Forest","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Redbridge and Waltham Forest","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","London","Westminster","Female","2945","2710","49790","51250"
"In post","2022","Attorney General's Departments","London","Westminster","Male","1710","1675","51180","51830"
"In post","2022","Attorney General's Departments","North East (England)","Durham","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","Durham","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","Hartlepool and Stockton-on-Tees","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","Hartlepool and Stockton-on-Tees","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","Northumberland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","Northumberland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","South Teesside","Female","65","55","37510","28430"
"In post","2022","Attorney General's Departments","North East (England)","South Teesside","Male","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","North East (England)","Tyneside","Female","165","145","36420","28430"
"In post","2022","Attorney General's Departments","North East (England)","Tyneside","Male","95","90","43860","48080"
"In post","2022","Attorney General's Departments","North West (England)","Blackburn with Darwen","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Blackburn with Darwen","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Cheshire East","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","East Cumbria","Female","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","East Cumbria","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","East Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","East Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Greater Manchester North East","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Greater Manchester North East","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Greater Manchester North West","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Greater Manchester North West","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Greater Manchester South East","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Greater Manchester South East","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Greater Manchester South West","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Greater Manchester South West","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Lancaster and Wyre","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Lancaster and Wyre","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Liverpool","Female","250","235","35010","28430"
"In post","2022","Attorney General's Departments","North West (England)","Liverpool","Male","130","125","41550","48080"
"In post","2022","Attorney General's Departments","North West (England)","Manchester","Female","250","225","38960","32420"
"In post","2022","Attorney General's Departments","North West (England)","Manchester","Male","125","120","43520","48080"
"In post","2022","Attorney General's Departments","North West (England)","Mid Lancashire","Female","115","110","37930","32370"
"In post","2022","Attorney General's Departments","North West (England)","Mid Lancashire","Male","60","60","43380","48080"
"In post","2022","Attorney General's Departments","North West (England)","Sefton","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Sefton","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Warrington","Female","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Warrington","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","West Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","West Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Wirral","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","North West (England)","Wirral","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Scotland","East Lothian and Midlothian","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Scotland","East Lothian and Midlothian","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Berkshire","Female","95","85","40320","32460"
"In post","2022","Attorney General's Departments","South East (England)","Berkshire","Male","35","35","48950","53050"
"In post","2022","Attorney General's Departments","South East (England)","Brighton and Hove","Female","85","80","39880","30110"
"In post","2022","Attorney General's Departments","South East (England)","Brighton and Hove","Male","40","35","44310","46400"
"In post","2022","Attorney General's Departments","South East (England)","Buckinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Buckinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Central Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Central Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","East Kent","Female","80","75","37510","30110"
"In post","2022","Attorney General's Departments","South East (England)","East Kent","Male","45","45","43040","42330"
"In post","2022","Attorney General's Departments","South East (England)","East Surrey","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","East Surrey","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Kent Thames Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Kent Thames Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Medway","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Medway","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Mid Kent","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Mid Kent","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","North Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","North Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Oxfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Oxfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Portsmouth","Female","70","65","39660","30110"
"In post","2022","Attorney General's Departments","South East (England)","Portsmouth","Male","35","35","46880","53050"
"In post","2022","Attorney General's Departments","South East (England)","South Hampshire","Female","100","95","42840","39650"
"In post","2022","Attorney General's Departments","South East (England)","South Hampshire","Male","55","55","44410","45530"
"In post","2022","Attorney General's Departments","South East (England)","West Kent","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","West Kent","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","West Surrey","Female","50","45","45030","42300"
"In post","2022","Attorney General's Departments","South East (England)","West Surrey","Male","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","West Sussex (North East)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","West Sussex (North East)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","West Sussex (South West)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","West Sussex (South West)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","10","10","[c]","[c]"
