"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Commercial","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","EO","Heterosexual / straight","45","40","27180","27040"
"In post","2022","Asian","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Commercial","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HEO","Heterosexual / straight","80","80","33090","33210"
"In post","2022","Asian","Commercial","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","SEO","Heterosexual / straight","75","75","41480","41380"
"In post","2022","Asian","Commercial","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","SEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","SEO","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","EO","Heterosexual / straight","30","30","27890","27600"
"In post","2022","Asian","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Communications","G6","LGBO","[c]","[c]","[c]","[c]"
