"Status","Year","Function_of_post","Region_ITL1","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","East Midlands (England)","Outside London","Female","30","30","36780","33000"
"In post","2022","Analysis","East Midlands (England)","Outside London","Male","45","45","39160","34420"
"In post","2022","Analysis","East of England","Outside London","Female","175","165","33300","30220"
"In post","2022","Analysis","East of England","Outside London","Male","200","195","37620","36240"
"In post","2022","Analysis","London","London","Female","1680","1600","48950","45140"
"In post","2022","Analysis","London","London","Male","2065","2040","50280","46250"
"In post","2022","Analysis","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","Outside London","Female","95","90","40620","36320"
"In post","2022","Analysis","North East (England)","Outside London","Male","90","90","38330","35450"
"In post","2022","Analysis","North West (England)","Outside London","Female","215","205","39720","36710"
"In post","2022","Analysis","North West (England)","Outside London","Male","265","260","39540","35590"
"In post","2022","Analysis","Northern Ireland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Northern Ireland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","Outside London","Female","65","65","43280","38650"
"In post","2022","Analysis","Scotland","Outside London","Male","80","80","44090","37960"
"In post","2022","Analysis","South East (England)","Outside London","Female","455","420","37980","37770"
"In post","2022","Analysis","South East (England)","Outside London","Male","540","525","40730","38110"
"In post","2022","Analysis","South East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","South West (England)","Outside London","Female","240","220","36180","32930"
"In post","2022","Analysis","South West (England)","Outside London","Male","275","270","38050","36150"
"In post","2022","Analysis","Unknown","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Wales","Outside London","Female","715","670","36670","36840"
"In post","2022","Analysis","Wales","Outside London","Male","590","580","38170","36840"
"In post","2022","Analysis","Wales","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","West Midlands (England)","Outside London","Female","55","55","38660","34910"
"In post","2022","Analysis","West Midlands (England)","Outside London","Male","50","50","39800","37960"
"In post","2022","Analysis","Yorkshire and The Humber","Outside London","Female","235","215","41350","37380"
"In post","2022","Analysis","Yorkshire and The Humber","Outside London","Male","265","255","42600","37350"
"In post","2022","Commercial","East Midlands (England)","Outside London","Female","70","65","39160","37100"
"In post","2022","Commercial","East Midlands (England)","Outside London","Male","50","50","47210","40310"
"In post","2022","Commercial","East of England","Outside London","Female","125","115","41300","38980"
"In post","2022","Commercial","East of England","Outside London","Male","95","90","46360","38980"
"In post","2022","Commercial","London","London","Female","905","880","55040","53360"
"In post","2022","Commercial","London","London","Male","960","945","63080","55500"
"In post","2022","Commercial","North East (England)","Outside London","Female","55","55","41680","36500"
"In post","2022","Commercial","North East (England)","Outside London","Male","55","50","46490","41500"
"In post","2022","Commercial","North West (England)","Outside London","Female","375","360","43990","39360"
"In post","2022","Commercial","North West (England)","Outside London","Male","295","290","46180","39360"
"In post","2022","Commercial","Northern Ireland","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","Male","30","30","52180","51040"
"In post","2022","Commercial","Scotland","Outside London","Female","170","165","38970","33930"
"In post","2022","Commercial","Scotland","Outside London","Male","210","205","39970","36300"
"In post","2022","Commercial","South East (England)","Outside London","Female","295","280","38510","34800"
"In post","2022","Commercial","South East (England)","Outside London","Male","225","220","45690","40580"
"In post","2022","Commercial","South West (England)","Outside London","Female","725","685","40510","37420"
"In post","2022","Commercial","South West (England)","Outside London","Male","715","705","45520","41500"
"In post","2022","Commercial","Unknown","Unknown","Female","35","35","46900","49700"
"In post","2022","Commercial","Unknown","Unknown","Male","35","35","59090","53320"
"In post","2022","Commercial","Wales","Outside London","Female","180","165","34720","31470"
"In post","2022","Commercial","Wales","Outside London","Male","180","175","35960","31250"
"In post","2022","Commercial","West Midlands (England)","Outside London","Female","165","155","40430","36500"
"In post","2022","Commercial","West Midlands (England)","Outside London","Male","155","155","46190","37100"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","Female","295","285","45770","39040"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","Male","210","210","47020","40000"
"In post","2022","Communications","East Midlands (England)","Outside London","Female","325","315","31090","26820"
"In post","2022","Communications","East Midlands (England)","Outside London","Male","335","335","29410","26820"
"In post","2022","Communications","East of England","Outside London","Female","35","35","35000","31200"
"In post","2022","Communications","East of England","Outside London","Male","40","40","32480","32230"
"In post","2022","Communications","London","London","Female","1460","1415","46670","42890"
"In post","2022","Communications","London","London","Male","965","960","48080","42890"
"In post","2022","Communications","North East (England)","Outside London","Female","790","725","29660","26820"
"In post","2022","Communications","North East (England)","Outside London","Male","730","715","29790","26820"
"In post","2022","Communications","North West (England)","Outside London","Female","380","365","32460","29240"
"In post","2022","Communications","North West (England)","Outside London","Male","425","425","31100","26820"
"In post","2022","Communications","Northern Ireland","Outside London","Female","25","25","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Communications","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Overseas","Male","5","5","[c]","[c]"
"In post","2022","Communications","Scotland","Outside London","Female","55","55","37200","36360"
"In post","2022","Communications","Scotland","Outside London","Male","35","35","37910","36360"
"In post","2022","Communications","South East (England)","Outside London","Female","155","145","35000","33300"
"In post","2022","Communications","South East (England)","Outside London","Male","130","130","34050","33150"
"In post","2022","Communications","South West (England)","Outside London","Female","175","160","36550","33350"
"In post","2022","Communications","South West (England)","Outside London","Male","135","130","35820","33440"
"In post","2022","Communications","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Communications","Wales","Outside London","Female","500","465","31250","26820"
"In post","2022","Communications","Wales","Outside London","Male","440","435","31160","26820"
"In post","2022","Communications","West Midlands (England)","Outside London","Female","315","305","31220","26820"
"In post","2022","Communications","West Midlands (England)","Outside London","Male","310","305","30200","26820"
"In post","2022","Communications","Yorkshire and The Humber","Outside London","Female","345","330","34640","33080"
"In post","2022","Communications","Yorkshire and The Humber","Outside London","Male","400","400","31730","26820"
