"Status","Year","Age","Ethnicity","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","London","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","Outside London","45","45","21910","21260"
"In post","2022","16-19","Asian","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Policy","London","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","London","[c]","[c]","[c]","[c]"
