"Status","Year","Age","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","East Midlands (England)","AA","10","10","[c]","[c]"
"In post","2022","16-19","East Midlands (England)","AO","40","40","21970","21260"
"In post","2022","16-19","East Midlands (England)","EO","5","5","[c]","[c]"
"In post","2022","16-19","East of England","AA","10","10","[c]","[c]"
"In post","2022","16-19","East of England","AO","35","35","22420","21680"
"In post","2022","16-19","East of England","EO","5","5","[c]","[c]"
"In post","2022","16-19","London","AA","10","5","21990","22350"
"In post","2022","16-19","London","AO","60","60","24620","24750"
"In post","2022","16-19","London","EO","70","70","26630","26970"
"In post","2022","16-19","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North East (England)","AO","60","60","21310","21250"
"In post","2022","16-19","North East (England)","EO","10","10","25370","25600"
"In post","2022","16-19","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","AA","10","5","[c]","[c]"
"In post","2022","16-19","North West (England)","AO","110","110","21360","21250"
"In post","2022","16-19","North West (England)","EO","30","30","25900","25480"
"In post","2022","16-19","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","AA","50","50","21330","21050"
"In post","2022","16-19","Scotland","AO","75","70","21570","21250"
"In post","2022","16-19","Scotland","EO","15","15","22230","18030"
"In post","2022","16-19","South East (England)","AA","20","20","20360","20890"
"In post","2022","16-19","South East (England)","AO","70","70","23800","22870"
"In post","2022","16-19","South East (England)","EO","20","20","23610","24880"
"In post","2022","16-19","South East (England)","Unknown","25","25","19200","19110"
