"Status","Year","Function_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Cumbria","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","Heterosexual / straight","50","45","37360","34970"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","Heterosexual / straight","55","55","36080","31070"
"In post","2022","Analysis","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","Unknown","65","60","33070","29750"
"In post","2022","Analysis","East Anglia","Heterosexual / straight","125","115","33740","30220"
"In post","2022","Analysis","East Anglia","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","East Anglia","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","East Anglia","Unknown","190","185","35460","30660"
"In post","2022","Analysis","East Wales","Heterosexual / straight","835","800","37220","36840"
"In post","2022","Analysis","East Wales","LGBO","95","95","36320","32160"
"In post","2022","Analysis","East Wales","Undeclared","65","65","35790","31320"
"In post","2022","Analysis","East Wales","Unknown","300","290","37970","36840"
"In post","2022","Analysis","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Yorkshire and Northern Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","Heterosexual / straight","50","50","49130","45810"
"In post","2022","Analysis","Eastern Scotland","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Essex","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","190","180","39880","38070"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","25","25","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","25","25","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","105","100","37590","38070"
"In post","2022","Analysis","Greater Manchester","Heterosexual / straight","225","215","39640","35270"
"In post","2022","Analysis","Greater Manchester","LGBO","30","30","37220","33370"
"In post","2022","Analysis","Greater Manchester","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","Greater Manchester","Unknown","40","35","38500","33370"
"In post","2022","Analysis","Hampshire and Isle of Wight","Heterosexual / straight","500","470","38970","38070"
"In post","2022","Analysis","Hampshire and Isle of Wight","LGBO","45","45","34770","31320"
"In post","2022","Analysis","Hampshire and Isle of Wight","Undeclared","35","30","34100","30710"
"In post","2022","Analysis","Hampshire and Isle of Wight","Unknown","370","355","40890","38340"
"In post","2022","Analysis","Herefordshire, Worcestershire and Warwickshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Herefordshire, Worcestershire and Warwickshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Herefordshire, Worcestershire and Warwickshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Inner London - East","Heterosexual / straight","600","580","51250","47020"
"In post","2022","Analysis","Inner London - East","LGBO","55","55","48680","43430"
"In post","2022","Analysis","Inner London - East","Undeclared","75","70","51780","53360"
"In post","2022","Analysis","Inner London - East","Unknown","160","155","46690","41880"
"In post","2022","Analysis","Inner London - West","Heterosexual / straight","1970","1915","49920","46710"
"In post","2022","Analysis","Inner London - West","LGBO","205","200","46400","45390"
"In post","2022","Analysis","Inner London - West","Undeclared","295","285","51130","53190"
"In post","2022","Analysis","Inner London - West","Unknown","320","315","47120","41340"
"In post","2022","Analysis","Kent","Heterosexual / straight","5","5","[c]","[c]"
