"Status","Year","Disability","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","East Midlands (England)","215","190","27100","26820"
"In post","2022","Declared disabled","Asian","East of England","130","115","30660","27570"
"In post","2022","Declared disabled","Asian","London","1395","1295","36830","31880"
"In post","2022","Declared disabled","Asian","North East (England)","50","45","28340","27570"
"In post","2022","Declared disabled","Asian","North West (England)","305","280","28150","27570"
"In post","2022","Declared disabled","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scotland","55","50","30100","27230"
"In post","2022","Declared disabled","Asian","South East (England)","120","110","30180","28650"
"In post","2022","Declared disabled","Asian","South West (England)","65","60","32390","27570"
"In post","2022","Declared disabled","Asian","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Wales","40","35","31960","27570"
"In post","2022","Declared disabled","Asian","West Midlands (England)","480","445","28580","27570"
"In post","2022","Declared disabled","Asian","Yorkshire and The Humber","240","220","28620","27570"
"In post","2022","Declared disabled","Black","East Midlands (England)","75","70","27760","27570"
"In post","2022","Declared disabled","Black","East of England","90","85","30600","29290"
"In post","2022","Declared disabled","Black","London","1345","1285","34590","31060"
"In post","2022","Declared disabled","Black","North East (England)","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","North West (England)","75","70","30850","27570"
"In post","2022","Declared disabled","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Overseas","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Scotland","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","South East (England)","85","80","31320","27870"
"In post","2022","Declared disabled","Black","South West (England)","55","50","31280","28200"
"In post","2022","Declared disabled","Black","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Wales","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","West Midlands (England)","200","180","28770","27570"
"In post","2022","Declared disabled","Black","Yorkshire and The Humber","70","65","28740","27190"
"In post","2022","Declared disabled","Mixed","East Midlands (England)","80","75","28010","27350"
"In post","2022","Declared disabled","Mixed","East of England","70","65","31300","29270"
"In post","2022","Declared disabled","Mixed","London","490","470","39810","34550"
"In post","2022","Declared disabled","Mixed","North East (England)","40","40","31650","28570"
"In post","2022","Declared disabled","Mixed","North West (England)","170","155","29270","27570"
"In post","2022","Declared disabled","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Overseas","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Scotland","40","40","35010","28460"
"In post","2022","Declared disabled","Mixed","South East (England)","120","115","32540","29290"
"In post","2022","Declared disabled","Mixed","South West (England)","90","85","33380","30070"
"In post","2022","Declared disabled","Mixed","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Wales","75","70","28370","26590"
"In post","2022","Declared disabled","Mixed","West Midlands (England)","95","85","28580","27570"
"In post","2022","Declared disabled","Mixed","Yorkshire and The Humber","100","95","31140","27570"
"In post","2022","Declared disabled","Other ethnicity","East Midlands (England)","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","East of England","20","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","London","175","170","40030","34260"
"In post","2022","Declared disabled","Other ethnicity","North East (England)","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","North West (England)","35","35","32180","27570"
"In post","2022","Declared disabled","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Overseas","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Scotland","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","South East (England)","25","25","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","South West (England)","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Wales","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","West Midlands (England)","30","25","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Yorkshire and The Humber","20","20","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","East Midlands (England)","110","105","28620","27470"
"In post","2022","Declared disabled","Undeclared","East of England","110","105","30130","29170"
"In post","2022","Declared disabled","Undeclared","London","410","385","39210","33020"
"In post","2022","Declared disabled","Undeclared","North East (England)","115","105","30140","27570"
"In post","2022","Declared disabled","Undeclared","North West (England)","280","250","29050","27570"
"In post","2022","Declared disabled","Undeclared","Northern Ireland","10","10","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Overseas","15","15","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Scotland","135","125","31810","27570"
"In post","2022","Declared disabled","Undeclared","South East (England)","220","200","30970","28470"
"In post","2022","Declared disabled","Undeclared","South West (England)","260","245","33670","31410"
"In post","2022","Declared disabled","Undeclared","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Wales","110","100","29860","27570"
"In post","2022","Declared disabled","Undeclared","West Midlands (England)","150","135","29290","27570"
"In post","2022","Declared disabled","Undeclared","Yorkshire and The Humber","165","145","30460","27570"
"In post","2022","Declared disabled","Unknown","East Midlands (England)","55","50","28740","27380"
"In post","2022","Declared disabled","Unknown","East of England","45","40","28730","24880"
"In post","2022","Declared disabled","Unknown","London","260","250","40300","36250"
"In post","2022","Declared disabled","Unknown","North East (England)","85","70","26370","22200"
"In post","2022","Declared disabled","Unknown","North West (England)","145","130","29480","26870"
"In post","2022","Declared disabled","Unknown","Northern Ireland","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Overseas","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Scotland","270","240","32920","33070"
"In post","2022","Declared disabled","Unknown","South East (England)","105","95","31230","27570"
