"Status","Year","Disability","Ethnicity","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Analysis","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Female","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","Female","65","55","29800","27570"
"In post","2022","Declared disabled","Asian","Counter Fraud","Male","70","65","31200","27570"
"In post","2022","Declared disabled","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","Female","40","35","24280","22080"
"In post","2022","Declared disabled","Asian","Debt","Male","25","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Female","35","35","38720","35290"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Male","55","55","38990","34860"
"In post","2022","Declared disabled","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Female","35","35","37490","32940"
"In post","2022","Declared disabled","Asian","Finance","Male","40","40","40550","40190"
"In post","2022","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Female","65","60","38980","35600"
"In post","2022","Declared disabled","Asian","Human Resources","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal","Female","75","65","41160","40170"
"In post","2022","Declared disabled","Asian","Legal","Male","35","30","41280","33460"
"In post","2022","Declared disabled","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","No function","Female","1085","955","30130","27570"
"In post","2022","Declared disabled","Asian","No function","Male","745","710","30340","27570"
"In post","2022","Declared disabled","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Project Delivery","Female","60","55","40820","37610"
"In post","2022","Declared disabled","Asian","Project Delivery","Male","50","50","41030","39050"
"In post","2022","Declared disabled","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Property","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Property","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Security","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Security","Male","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Female","260","235","33600","29210"
"In post","2022","Declared disabled","Asian","Unknown","Male","190","180","32910","29080"
"In post","2022","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Analysis","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Analysis","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Commercial","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
