"Status","Year","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","Female","13055","11760","29740","27330"
"In post","2022","East Midlands (England)","Male","9950","9605","31580","27570"
"In post","2022","East of England","Female","12470","11270","30340","27570"
"In post","2022","East of England","Male","10455","10085","32500","29300"
"In post","2022","London","Female","57165","54130","42480","37420"
"In post","2022","London","Male","47655","46820","45540","40120"
"In post","2022","London","Unknown","5","5","[c]","[c]"
"In post","2022","North East (England)","Female","19330","16880","28580","26590"
"In post","2022","North East (England)","Male","13775","13185","31350","27570"
"In post","2022","North West (England)","Female","36915","33245","29560","27130"
"In post","2022","North West (England)","Male","27385","26455","31790","27570"
"In post","2022","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Female","1980","1820","30030","26820"
"In post","2022","Northern Ireland","Male","2280","2225","29290","26590"
"In post","2022","Overseas","Female","1510","1495","48980","46600"
"In post","2022","Overseas","Male","2175","2170","49750","49370"
"In post","2022","Scotland","Female","27680","25190","32540","27570"
"In post","2022","Scotland","Male","23335","22505","34380","30820"
"In post","2022","South East (England)","Female","22115","19985","31000","27570"
"In post","2022","South East (England)","Male","20510","19670","33590","30700"
"In post","2022","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","South West (England)","Female","22335","20260","32650","28650"
"In post","2022","South West (England)","Male","24375","23700","36670","33300"
"In post","2022","Unknown","Female","1025","970","33060","30150"
"In post","2022","Unknown","Male","2285","2265","37250","32900"
"In post","2022","Wales","Female","21720","19460","30510","27130"
"In post","2022","Wales","Male","16175","15635","33480","28550"
"In post","2022","Wales","Unknown","10","10","[c]","[c]"
"In post","2022","West Midlands (England)","Female","19170","17335","30100","27570"
"In post","2022","West Midlands (England)","Male","14000","13530","32280","27570"
"In post","2022","Yorkshire and The Humber","Female","21585","19380","31310","27570"
"In post","2022","Yorkshire and The Humber","Male","17650","17030","32950","28200"
"Leaver CS","2022","East Midlands (England)","Female","1275","[c]","27120","25830"
"Leaver CS","2022","East Midlands (England)","Male","1005","[c]","30130","26780"
"Leaver CS","2022","East of England","Female","1385","[c]","30400","27570"
"Leaver CS","2022","East of England","Male","1295","[c]","32220","27570"
"Leaver CS","2022","London","Female","5330","[c]","39700","32690"
