"Status","Year","Age","Organisation","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","AO","Female","20","20","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","AA","Male","15","15","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","EO","Female","20","20","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","EO","Male","85","85","18400","18030"
"In post","2022","16-19","Defence Science and Technology Laboratory","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
