"Status","Year","Organisation","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scotland","Female","70","60","31110","30040"
"In post","2022","Accountant in Bankruptcy","Scotland","Male","40","40","35150","30040"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Female","70","65","28910","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Male","35","35","28710","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","Female","30","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","Male","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Female","105","95","41120","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Male","85","85","44560","43750"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Female","90","80","29230","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Male","50","50","31090","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Female","80","75","29940","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Male","55","55","31340","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","Female","50","45","30420","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","Male","40","40","33000","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Female","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Male","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Female","30","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Male","25","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","Female","55","50","29870","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","Male","30","30","33030","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Female","55","50","31350","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Male","30","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Female","35","35","31380","31040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Male","35","30","31550","30950"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Female","55","55","32810","29180"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Male","30","30","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","East of England","Female","80","75","30270","29180"
"In post","2022","Animal and Plant Health Agency","East of England","Male","70","65","32190","30680"
"In post","2022","Animal and Plant Health Agency","London","Female","50","50","35890","31800"
"In post","2022","Animal and Plant Health Agency","London","Male","55","55","34790","31800"
"In post","2022","Animal and Plant Health Agency","North East (England)","Female","30","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North East (England)","Male","25","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","North West (England)","Female","200","185","27310","24920"
"In post","2022","Animal and Plant Health Agency","North West (England)","Male","105","105","27750","24920"
"In post","2022","Animal and Plant Health Agency","Scotland","Female","90","85","30830","25770"
"In post","2022","Animal and Plant Health Agency","Scotland","Male","50","50","34380","29230"
"In post","2022","Animal and Plant Health Agency","South East (England)","Female","460","435","32280","28550"
"In post","2022","Animal and Plant Health Agency","South East (England)","Male","310","300","34190","30380"
"In post","2022","Animal and Plant Health Agency","South West (England)","Female","255","240","28490","24920"
"In post","2022","Animal and Plant Health Agency","South West (England)","Male","185","180","30010","25320"
"In post","2022","Animal and Plant Health Agency","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Wales","Female","220","200","27230","24920"
"In post","2022","Animal and Plant Health Agency","Wales","Male","110","105","30460","26520"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","Female","170","155","28080","25190"
"In post","2022","Animal and Plant Health Agency","West Midlands (England)","Male","115","110","32040","29180"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","Female","105","100","27340","24920"
"In post","2022","Animal and Plant Health Agency","Yorkshire and The Humber","Male","115","115","30330","25730"
"In post","2022","Attorney General's Office","London","Female","30","25","[c]","[c]"
"In post","2022","Attorney General's Office","London","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","Female","20","20","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East Midlands (England)","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Female","50","45","51590","51190"
"In post","2022","Cabinet Office (excl. agencies)","East of England","Male","45","45","52750","49700"
"In post","2022","Cabinet Office (excl. agencies)","London","Female","3410","3345","47450","40600"
"In post","2022","Cabinet Office (excl. agencies)","London","Male","3010","3000","53140","54700"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Female","300","275","29040","25550"
"In post","2022","Cabinet Office (excl. agencies)","North East (England)","Male","180","175","33020","28000"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Female","315","305","46220","40250"
"In post","2022","Cabinet Office (excl. agencies)","North West (England)","Male","220","220","48360","47400"
"In post","2022","Cabinet Office (excl. agencies)","Northern Ireland","Female","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","Female","165","160","42400","34280"
"In post","2022","Cabinet Office (excl. agencies)","Scotland","Male","130","130","43420","32000"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","Female","120","115","40090","33300"
"In post","2022","Cabinet Office (excl. agencies)","South East (England)","Male","115","115","50440","40580"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","Female","115","110","51050","49700"
"In post","2022","Cabinet Office (excl. agencies)","South West (England)","Male","125","125","56860","51450"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Female","245","240","36570","32000"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Male","230","230","38310","32000"
"In post","2022","Cabinet Office (excl. agencies)","Wales","Female","50","45","38330","32000"
"In post","2022","Cabinet Office (excl. agencies)","Wales","Male","35","35","47340","49700"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","Female","70","70","52300","49700"
"In post","2022","Cabinet Office (excl. agencies)","West Midlands (England)","Male","80","80","64120","61710"
