"Status","Year","Age","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East of England","5","5","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","London","15","15","23530","23450"
"In post","2022","16-19","Attorney General's Departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","North West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","London","10","10","25960","27500"
"In post","2022","16-19","Cabinet Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","London","10","10","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","North West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","London","15","15","25110","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","North East (England)","5","5","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","South East (England)","5","5","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","16-19","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","London","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport","Wales","75","60","19110","18310"
"In post","2022","16-19","Department for Transport","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","East of England","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","London","10","10","26190","25110"
"In post","2022","16-19","Department for Work and Pensions","North East (England)","15","15","21680","21260"
"In post","2022","16-19","Department for Work and Pensions","North West (England)","35","35","22470","21260"
"In post","2022","16-19","Department for Work and Pensions","Scotland","10","10","21260","21260"
"In post","2022","16-19","Department for Work and Pensions","South East (England)","10","10","24250","24250"
