"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","AA/AO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","EO","Heterosexual / straight","50","50","27800","27710"
"In post","2022","Declared disabled","Analysis","EO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","G6/G7","Heterosexual / straight","125","120","60540","59050"
"In post","2022","Declared disabled","Analysis","G6/G7","LGBO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","SEO/HEO","Heterosexual / straight","275","260","37030","37380"
"In post","2022","Declared disabled","Analysis","SEO/HEO","LGBO","70","65","36240","36840"
"In post","2022","Declared disabled","Analysis","SEO/HEO","Undeclared","35","35","35200","34100"
"In post","2022","Declared disabled","Analysis","SEO/HEO","Unknown","30","30","35030","35900"
"In post","2022","Declared disabled","Commercial","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","Heterosexual / straight","50","50","26890","26660"
"In post","2022","Declared disabled","Commercial","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","Undeclared","10","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6/G7","Heterosexual / straight","65","65","57830","54540"
"In post","2022","Declared disabled","Commercial","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO/HEO","Heterosexual / straight","190","185","37260","38000"
"In post","2022","Declared disabled","Commercial","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO/HEO","Undeclared","30","30","37520","39300"
"In post","2022","Declared disabled","Commercial","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","Heterosexual / straight","45","35","21520","21250"
"In post","2022","Declared disabled","Communications","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","Heterosexual / straight","150","145","27170","26820"
"In post","2022","Declared disabled","Communications","EO","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","Undeclared","20","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6/G7","Heterosexual / straight","55","55","57530","55470"
"In post","2022","Declared disabled","Communications","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO/HEO","Heterosexual / straight","185","180","36480","33520"
"In post","2022","Declared disabled","Communications","SEO/HEO","LGBO","40","40","36220","33770"
"In post","2022","Declared disabled","Communications","SEO/HEO","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO/HEO","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","Heterosexual / straight","295","255","22380","21260"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","Undeclared","55","50","22080","21260"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","Unknown","45","35","22470","21260"
"In post","2022","Declared disabled","Counter Fraud","EO","Heterosexual / straight","625","560","28090","27570"
"In post","2022","Declared disabled","Counter Fraud","EO","LGBO","60","60","28160","27570"
"In post","2022","Declared disabled","Counter Fraud","EO","Undeclared","110","100","28040","27570"
"In post","2022","Declared disabled","Counter Fraud","EO","Unknown","90","80","28920","27570"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","Heterosexual / straight","85","80","59230","55210"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","Heterosexual / straight","405","380","36140","34290"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","LGBO","50","45","35160","33370"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","Undeclared","50","45","35360","33370"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","Unknown","50","45","37520","36650"
"In post","2022","Declared disabled","Debt","AA/AO","Heterosexual / straight","455","385","21620","21260"
"In post","2022","Declared disabled","Debt","AA/AO","LGBO","50","45","21350","21250"
"In post","2022","Declared disabled","Debt","AA/AO","Undeclared","65","50","21620","21260"
"In post","2022","Declared disabled","Debt","AA/AO","Unknown","65","55","22040","21260"
"In post","2022","Declared disabled","Debt","EO","Heterosexual / straight","100","90","27970","27570"
"In post","2022","Declared disabled","Debt","EO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Debt","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Debt","EO","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Debt","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","SEO/HEO","Heterosexual / straight","30","30","34900","33370"
"In post","2022","Declared disabled","Debt","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","AA/AO","Heterosexual / straight","80","75","21830","21380"
"In post","2022","Declared disabled","Digital, Data & Technology","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","EO","Heterosexual / straight","340","320","27520","27340"
"In post","2022","Declared disabled","Digital, Data & Technology","EO","LGBO","45","45","27240","26820"
"In post","2022","Declared disabled","Digital, Data & Technology","EO","Undeclared","50","45","27830","26930"
"In post","2022","Declared disabled","Digital, Data & Technology","EO","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","G6/G7","Heterosexual / straight","325","315","57160","55210"
"In post","2022","Declared disabled","Digital, Data & Technology","G6/G7","LGBO","50","50","56720","54700"
"In post","2022","Declared disabled","Digital, Data & Technology","G6/G7","Undeclared","50","50","58100","57900"
"In post","2022","Declared disabled","Digital, Data & Technology","G6/G7","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","SEO/HEO","Heterosexual / straight","675","650","36920","35980"
"In post","2022","Declared disabled","Digital, Data & Technology","SEO/HEO","LGBO","120","115","36550","36100"
"In post","2022","Declared disabled","Digital, Data & Technology","SEO/HEO","Undeclared","125","120","36840","35980"
"In post","2022","Declared disabled","Digital, Data & Technology","SEO/HEO","Unknown","45","45","36980","36840"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
