"Status","Year","Age","Function_of_post","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Inner London - West","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Environment, Food and Rural Affairs","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for International Trade","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Transport","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Treasury","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Ministry of Defence","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office of Gas and Electricity Markets","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","East Wales","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Attorney General's Departments","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Environment, Food and Rural Affairs","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Transport","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Ministry of Defence","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scottish Government","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Cabinet Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Chancellor's other departments","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Education","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department for Environment, Food and Rural Affairs","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Department of Health and Social Care","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Foreign, Commonwealth and Development Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Land Registry","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Ministry of Justice","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Northern Ireland Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Office of Gas and Electricity Markets","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","Eastern Scotland","5","5","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","Merseyside","5","5","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","Northumberland, and Tyne and Wear","10","10","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","West Yorkshire","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Attorney General's Departments","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Devon","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Education","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Transport","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Work and Pensions","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","Devon","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
