"Status","Year","Age","Disability","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
