"Status","Year","Organisation","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","110","100","32660","30040"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","75","70","31420","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bristol, City of","45","45","32720","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","80","75","30590","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Dudley","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Glasgow City","90","80","31610","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Leeds","70","65","31460","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Liverpool","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Manchester","135","125","30020","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Medway","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North Hampshire","25","25","34470","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Nottingham","105","95","28840","26380"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Sefton","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","South West Wales","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Suffolk CC","40","35","34270","34260"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Swansea","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Thurrock","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Tyneside","140","130","29880","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Wandsworth","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Kent","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Westminster","180","175","42900","38670"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Aberdeen City and Aberdeenshire","10","10","34850","36750"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Bristol, City of","60","60","24680","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Caithness and Sutherland, and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cambridgeshire CC","25","25","30040","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cardiff and Vale of Glamorgan","90","85","28230","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Central Hampshire","35","35","29530","25940"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cheshire East","35","30","33160","29860"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","60","55","31730","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Devon CC","210","195","27990","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Dorset","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Dumfries and Galloway","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Cumbria","160","150","25320","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Kent","35","35","28430","28340"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Lothian and Midlothian","10","10","37620","33130"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Riding of Yorkshire","20","20","28570","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Gloucestershire CC","65","60","31310","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Gwynedd","70","60","26960","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Harrow and Hillingdon","15","15","35720","32720"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Heart of Essex","45","40","29590","28340"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Hertfordshire CC","10","10","33670","30670"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Hounslow and Richmond upon Thames","65","65","33010","31750"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Inverness and Nairn, Moray, and Badenoch and Strathspey","20","15","28720","25260"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Leicestershire CC and Rutland","20","20","33650","35900"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Lincolnshire CC","25","25","33510","29800"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Manchester","15","15","29560","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Mid Kent","10","10","28070","26580"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Mid Lancashire","95","90","28660","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North and West Norfolk","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North Yorkshire CC","130","125","31610","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Northumberland","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Norwich and East Norfolk","10","10","33500","30670"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Nottingham","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Oxfordshire CC","15","15","41660","42780"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Perth and Kinross, and Stirling","45","40","34750","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Powys","20","20","32650","35900"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Redbridge and Waltham Forest","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Scottish Borders","15","15","29830","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Shropshire","40","40","34630","33300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Somerset CC","35","35","34500","35900"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South and West Derbyshire","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South Ayrshire","25","25","28170","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South Lanarkshire","10","10","31120","25720"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South Nottinghamshire","20","20","30110","27190"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South West Wales","150","140","28350","25160"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Staffordshire CC","70","70","25860","21300"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Suffolk CC","45","45","31830","29840"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Thurrock","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Tyneside","50","50","30990","26440"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","25","25","29460","25520"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Surrey","645","615","33380","28630"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Sussex (North East)","20","20","32950","30040"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Westminster","20","20","44370","52290"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Wiltshire","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Worcestershire CC","170","155","30080","28000"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","York","70","70","23910","21300"
"In post","2022","Attorney General's Office","Attorney General's Departments","Westminster","45","45","51580","51250"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Ards and North Down","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Bath and North East Somerset, North Somerset and South Gloucestershire","50","50","55290","45140"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Belfast","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Berkshire","35","35","36480","29250"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Birmingham","105","105","53030","38740"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Blackpool","40","35","56170","58210"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Bradford","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Bristol, City of","110","105","49480","49700"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Buckinghamshire","10","10","52830","60920"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Cambridgeshire CC","15","15","47460","33300"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Camden and City of London","70","70","56280","54700"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Cardiff and Vale of Glamorgan","50","45","43110","37300"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Central Hampshire","45","40","64070","64750"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","City of Edinburgh","30","30","35390","32000"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Coventry","10","10","66610","63110"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Croydon","20","20","62640","65320"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Darlington","15","15","62900","62010"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Dorset","10","10","35240","33470"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Durham","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","East Cumbria","[c]","[c]","[c]","[c]"
