"Status","Year","Age","Disability","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","No function","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","No function","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","No function","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Debt","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","No function","15","15","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Project Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","Commercial","[c]","[c]","[c]","[c]"
