"Status","Year","Disability","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","London","Female","Heterosexual / straight","4390","4120","40360","34920"
"In post","2022","Declared disabled","London","Female","LGBO","595","575","41310","36330"
"In post","2022","Declared disabled","London","Female","Undeclared","580","545","39780","34140"
"In post","2022","Declared disabled","London","Female","Unknown","310","275","37540","31660"
"In post","2022","Declared disabled","London","Male","Heterosexual / straight","2840","2760","42850","37660"
"In post","2022","Declared disabled","London","Male","LGBO","555","550","44980","40050"
"In post","2022","Declared disabled","London","Male","Undeclared","435","420","41530","36520"
"In post","2022","Declared disabled","London","Male","Unknown","225","220","39190","34750"
"In post","2022","Declared disabled","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Outside London","Female","Heterosexual / straight","20470","18115","29760","27570"
"In post","2022","Declared disabled","Outside London","Female","LGBO","1995","1900","29690","27570"
"In post","2022","Declared disabled","Outside London","Female","Undeclared","2590","2245","28810","27570"
"In post","2022","Declared disabled","Outside London","Female","Unknown","1750","1465","28140","26820"
"In post","2022","Declared disabled","Outside London","Male","Heterosexual / straight","12685","12045","31390","27570"
"In post","2022","Declared disabled","Outside London","Male","LGBO","1675","1615","30670","27570"
"In post","2022","Declared disabled","Outside London","Male","Undeclared","1895","1785","31420","27570"
"In post","2022","Declared disabled","Outside London","Male","Unknown","1235","1135","30570","27570"
"In post","2022","Declared disabled","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Outside London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Female","Heterosexual / straight","75","75","47940","51500"
"In post","2022","Declared disabled","Overseas","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Male","Heterosexual / straight","95","95","48430","42120"
"In post","2022","Declared disabled","Overseas","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Female","Heterosexual / straight","65","60","28970","27570"
"In post","2022","Declared disabled","Unknown","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Female","Undeclared","15","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Male","Heterosexual / straight","35","35","38060","30690"
"In post","2022","Declared disabled","Unknown","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","London","Female","Heterosexual / straight","29985","28360","43260","37930"
"In post","2022","Declared non-disabled","London","Female","LGBO","1535","1500","43670","39600"
"In post","2022","Declared non-disabled","London","Female","Undeclared","2730","2545","41170","35430"
"In post","2022","Declared non-disabled","London","Female","Unknown","2545","2260","39020","31880"
"In post","2022","Declared non-disabled","London","Male","Heterosexual / straight","24325","23930","46060","40640"
"In post","2022","Declared non-disabled","London","Male","LGBO","2205","2185","48040","43810"
"In post","2022","Declared non-disabled","London","Male","Undeclared","2240","2180","45910","41180"
"In post","2022","Declared non-disabled","London","Male","Unknown","1795","1745","44090","37290"
"In post","2022","Declared non-disabled","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Outside London","Female","Heterosexual / straight","115855","104870","31200","27570"
"In post","2022","Declared non-disabled","Outside London","Female","LGBO","5475","5270","30610","27570"
"In post","2022","Declared non-disabled","Outside London","Female","Undeclared","10005","8805","30160","27570"
"In post","2022","Declared non-disabled","Outside London","Female","Unknown","15875","13270","29160","27570"
"In post","2022","Declared non-disabled","Outside London","Male","Heterosexual / straight","91800","89160","33800","29430"
"In post","2022","Declared non-disabled","Outside London","Male","LGBO","5150","5040","32250","27570"
"In post","2022","Declared non-disabled","Outside London","Male","Undeclared","8005","7630","33730","29700"
"In post","2022","Declared non-disabled","Outside London","Male","Unknown","11955","11340","34070","29230"
"In post","2022","Declared non-disabled","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Outside London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","Female","Heterosexual / straight","775","765","48850","47470"
"In post","2022","Declared non-disabled","Overseas","Female","LGBO","40","40","46320","40040"
"In post","2022","Declared non-disabled","Overseas","Female","Undeclared","85","85","45740","42500"
"In post","2022","Declared non-disabled","Overseas","Female","Unknown","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","Male","Heterosexual / straight","1195","1190","49220","46460"
"In post","2022","Declared non-disabled","Overseas","Male","LGBO","85","85","55530","54430"
"In post","2022","Declared non-disabled","Overseas","Male","Undeclared","105","105","46770","41240"
"In post","2022","Declared non-disabled","Overseas","Male","Unknown","50","50","48260","43790"
"In post","2022","Declared non-disabled","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
