"Status","Year","Parent_department","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","Female","95","85","40320","32460"
"In post","2022","Attorney General's Departments","Berkshire","Male","35","35","48950","53050"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","Female","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","Female","345","320","38890","34480"
"In post","2022","Attorney General's Departments","Birmingham","Male","155","155","43560","48080"
"In post","2022","Attorney General's Departments","Blackburn with Darwen","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Blackburn with Darwen","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bradford","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bradford","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","Female","85","80","39880","30110"
"In post","2022","Attorney General's Departments","Brighton and Hove","Male","40","35","44310","46400"
"In post","2022","Attorney General's Departments","Bristol, City of","Female","110","105","40970","48080"
"In post","2022","Attorney General's Departments","Bristol, City of","Male","65","60","44920","48450"
"In post","2022","Attorney General's Departments","Bromley","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bromley","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Buckinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Calderdale and Kirklees","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Calderdale and Kirklees","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cambridgeshire CC","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","Female","150","140","37400","32370"
"In post","2022","Attorney General's Departments","Cardiff and Vale of Glamorgan","Male","75","75","46280","48080"
"In post","2022","Attorney General's Departments","Central Hampshire","Female","[c]","[c]","[c]","[c]"
