"Status","Year","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Female","32870","29415","31520","27570"
"In post","2022","Declared disabled","Male","21745","20725","33540","29290"
"In post","2022","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Female","185400","168235","33350","28310"
"In post","2022","Declared non-disabled","Male","149285","145000","36430","31880"
"In post","2022","Declared non-disabled","Unknown","5","5","[c]","[c]"
"In post","2022","Undeclared","Female","12600","11450","32370","28310"
"In post","2022","Undeclared","Male","14890","14245","35220","31700"
"In post","2022","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","47185","44075","34080","29250"
"In post","2022","Unknown","Male","46085","44915","35870","32090"
"In post","2022","Unknown","Unknown","10","10","[c]","[c]"
"Leaver CS","2022","Declared disabled","Female","2545","[c]","29330","27570"
"Leaver CS","2022","Declared disabled","Male","1925","[c]","31710","27570"
"Leaver CS","2022","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Female","14225","[c]","31880","27570"
"Leaver CS","2022","Declared non-disabled","Male","12005","[c]","35190","29250"
"Leaver CS","2022","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Female","1015","[c]","31260","27570"
"Leaver CS","2022","Undeclared","Male","1215","[c]","33650","30210"
"Leaver CS","2022","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","5640","[c]","32990","27570"
"Leaver CS","2022","Unknown","Male","5640","[c]","35120","30130"
"Leaver Dept.","2022","Declared disabled","Female","1115","[c]","35290","31060"
"Leaver Dept.","2022","Declared disabled","Male","745","[c]","36320","30980"
"Leaver Dept.","2022","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Female","8645","[c]","37150","32300"
"Leaver Dept.","2022","Declared non-disabled","Male","5770","[c]","39330","33300"
"Leaver Dept.","2022","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","450","[c]","35380","31990"
"Leaver Dept.","2022","Undeclared","Male","410","[c]","37070","33300"
"Leaver Dept.","2022","Unknown","Female","3740","[c]","40590","34530"
"Leaver Dept.","2022","Unknown","Male","2785","[c]","43090","36170"
"Leaver Dept.","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Female","3220","[c]","28980","27230"
"New entrant CS","2022","Declared disabled","Male","2005","[c]","29220","27230"
"New entrant CS","2022","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Female","21185","[c]","28980","26590"
"New entrant CS","2022","Declared non-disabled","Male","15725","[c]","30540","27540"
"New entrant CS","2022","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","1020","[c]","29390","27570"
"New entrant CS","2022","Undeclared","Male","850","[c]","30780","27570"
"New entrant CS","2022","Unknown","Female","13990","[c]","29120","26350"
"New entrant CS","2022","Unknown","Male","11400","[c]","30560","26880"
