"Status","Year","Disability","Function_of_post","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","G6/G7","30","30","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","SEO/HEO","40","35","35100","34590"
"In post","2022","Declared disabled","Analysis","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","G6/G7","[c]","[c]","[c]","[c]"
