"Status","Year","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","London","Female","Heterosexual / straight","38400","36345","42870","37860"
"In post","2022","London","Female","LGBO","2475","2415","42890","38160"
"In post","2022","London","Female","Undeclared","5095","4790","42020","36720"
"In post","2022","London","Female","Unknown","11200","10585","41270","34770"
"In post","2022","London","Male","Heterosexual / straight","30315","29805","45680","40230"
"In post","2022","London","Male","LGBO","3125","3095","47170","42440"
"In post","2022","London","Male","Undeclared","4645","4525","46200","41520"
"In post","2022","London","Male","Unknown","9570","9395","44260","37930"
"In post","2022","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Outside London","Female","Heterosexual / straight","149725","135265","31110","27570"
"In post","2022","Outside London","Female","LGBO","8435","8110","30410","27570"
"In post","2022","Outside London","Female","Undeclared","17005","15035","30660","27570"
"In post","2022","Outside London","Female","Unknown","43195","38175","29280","26820"
"In post","2022","Outside London","Male","Heterosexual / straight","117435","113700","33620","29430"
"In post","2022","Outside London","Male","LGBO","7755","7565","31980","27570"
"In post","2022","Outside London","Male","Undeclared","16030","15310","33980","30980"
"In post","2022","Outside London","Male","Unknown","38665","37060","32130","27570"
"In post","2022","Outside London","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Outside London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Female","Heterosexual / straight","990","980","49310","49370"
"In post","2022","Overseas","Female","LGBO","60","60","46430","44890"
"In post","2022","Overseas","Female","Undeclared","135","135","45290","40580"
"In post","2022","Overseas","Female","Unknown","325","320","49870","46600"
"In post","2022","Overseas","Male","Heterosexual / straight","1500","1495","49500","46990"
"In post","2022","Overseas","Male","LGBO","120","120","53120","53470"
"In post","2022","Overseas","Male","Undeclared","215","215","47490","42340"
"In post","2022","Overseas","Male","Unknown","335","335","51000","52430"
