"Status","Year","Age","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Outside London","Male","5","5","[c]","[c]"
"In post","2022","16-19","Communications","London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Outside London","Female","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Outside London","Male","20","20","[c]","[c]"
"In post","2022","16-19","Economics","London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Economics","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Outside London","Female","15","15","[c]","[c]"
"In post","2022","16-19","Finance","Outside London","Male","15","15","[c]","[c]"
"In post","2022","16-19","Human Resources","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Outside London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","London","Female","30","25","[c]","[c]"
"In post","2022","16-19","Operational Delivery","London","Male","15","15","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Outside London","Female","345","330","21820","21260"
"In post","2022","16-19","Operational Delivery","Outside London","Male","270","255","21780","21260"
"In post","2022","16-19","Operational Research","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","London","Female","10","10","[c]","[c]"
"In post","2022","16-19","Other","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Outside London","Female","25","25","[c]","[c]"
"In post","2022","16-19","Other","Outside London","Male","35","35","19750","19460"
"In post","2022","16-19","Other","Unknown","Female","10","10","[c]","[c]"
