"Status","Year","Disability","Ethnicity","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Animal and Plant Health Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Animal and Plant Health Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cabinet Office (excl. agencies)","Female","45","45","42200","39010"
"In post","2022","Declared disabled","Asian","Cabinet Office (excl. agencies)","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Companies House","Female","[c]","[c]","[c]","[c]"
