"Status","Year","Function_of_post","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Heterosexual / straight","110","110","44440","42420"
"In post","2022","Analysis","Digital, Data and Technology","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Unknown","25","25","[c]","[c]"
"In post","2022","Analysis","Economics","Heterosexual / straight","955","930","47560","42010"
"In post","2022","Analysis","Economics","LGBO","85","85","42890","37610"
"In post","2022","Analysis","Economics","Undeclared","115","110","48110","51350"
"In post","2022","Analysis","Economics","Unknown","215","215","44500","37610"
"In post","2022","Analysis","Finance","Heterosexual / straight","40","40","45250","38370"
"In post","2022","Analysis","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Geography","Heterosexual / straight","40","40","32330","33000"
"In post","2022","Analysis","Geography","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Geography","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Human Resources","Heterosexual / straight","30","30","45030","39880"
"In post","2022","Analysis","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Heterosexual / straight","75","70","39960","38290"
"In post","2022","Analysis","Intelligence Analysis","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Unknown","25","20","[c]","[c]"
"In post","2022","Analysis","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Heterosexual / straight","30","30","46710","44630"
"In post","2022","Analysis","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Heterosexual / straight","525","495","35060","31700"
"In post","2022","Analysis","Operational Delivery","LGBO","40","40","33450","30210"
"In post","2022","Analysis","Operational Delivery","Undeclared","65","65","39910","36760"
"In post","2022","Analysis","Operational Delivery","Unknown","220","210","34900","30810"
"In post","2022","Analysis","Operational Research","Heterosexual / straight","365","345","45360","42010"
"In post","2022","Analysis","Operational Research","LGBO","45","45","41700","39470"
"In post","2022","Analysis","Operational Research","Undeclared","45","45","48210","43520"
"In post","2022","Analysis","Operational Research","Unknown","260","250","43320","47010"
"In post","2022","Analysis","Other","Heterosexual / straight","270","260","59750","53830"
"In post","2022","Analysis","Other","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Other","Undeclared","40","35","61920","56030"
"In post","2022","Analysis","Other","Unknown","55","50","44350","35680"
"In post","2022","Analysis","Policy","Heterosexual / straight","395","370","48510","50120"
"In post","2022","Analysis","Policy","LGBO","35","35","49510","52150"
"In post","2022","Analysis","Policy","Undeclared","80","75","50380","53360"
"In post","2022","Analysis","Policy","Unknown","65","60","50770","50070"
"In post","2022","Analysis","Project Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Psychology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","Heterosexual / straight","245","230","39010","36580"
"In post","2022","Analysis","Science and Engineering","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","Undeclared","40","35","40800","36930"
"In post","2022","Analysis","Science and Engineering","Unknown","405","385","36510","35900"
"In post","2022","Analysis","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Social Research","Heterosexual / straight","790","750","42200","38340"
"In post","2022","Analysis","Social Research","LGBO","105","100","39790","35920"
"In post","2022","Analysis","Social Research","Undeclared","55","50","41040","38340"
"In post","2022","Analysis","Social Research","Unknown","140","135","41430","38340"
"In post","2022","Analysis","Statistics","Heterosexual / straight","1480","1425","44810","40520"
"In post","2022","Analysis","Statistics","LGBO","165","165","41010","38340"
"In post","2022","Analysis","Statistics","Undeclared","145","140","42130","38430"
"In post","2022","Analysis","Statistics","Unknown","280","270","42350","38340"
