"Status","Year","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","AA/AO","Heterosexual / straight","86390","78195","22900","21380"
"In post","2022","AA/AO","LGBO","5395","5165","23150","21300"
"In post","2022","AA/AO","Undeclared","11145","9825","22900","21430"
"In post","2022","AA/AO","Unknown","34235","30610","22950","21300"
"In post","2022","EO","Heterosexual / straight","88330","82220","27930","27570"
"In post","2022","EO","LGBO","5530","5355","27820","27570"
"In post","2022","EO","Undeclared","11255","10330","28130","27570"
"In post","2022","EO","Unknown","26160","24100","28160","27570"
"In post","2022","G6/G7","Heterosexual / straight","47020","45380","59100","57190"
"In post","2022","G6/G7","LGBO","3330","3270","58440","55790"
"In post","2022","G6/G7","Undeclared","6085","5870","59550","57440"
"In post","2022","G6/G7","Unknown","13015","12530","59110","57430"
"In post","2022","SCS level","Heterosexual / straight","5110","4950","89910","82300"
"In post","2022","SCS level","LGBO","365","360","87220","79360"
"In post","2022","SCS level","Undeclared","560","540","89150","82340"
"In post","2022","SCS level","Unknown","1180","1145","96300","86720"
"In post","2022","SEO/HEO","Heterosexual / straight","96880","93160","37310","36500"
"In post","2022","SEO/HEO","LGBO","6395","6280","36550","35590"
"In post","2022","SEO/HEO","Undeclared","12820","12275","37730","36970"
"In post","2022","SEO/HEO","Unknown","25430","24555","36550","35680"
"In post","2022","Unknown","Heterosexual / straight","15515","14520","31570","28760"
"In post","2022","Unknown","LGBO","1030","1000","29880","27060"
"In post","2022","Unknown","Undeclared","1385","1290","33920","32720"
"In post","2022","Unknown","Unknown","5520","5160","31470","28760"
"Leaver CS","2022","AA/AO","Heterosexual / straight","8895","[c]","21770","21260"
"Leaver CS","2022","AA/AO","LGBO","715","[c]","21440","21260"
"Leaver CS","2022","AA/AO","Undeclared","1060","[c]","21960","21260"
"Leaver CS","2022","AA/AO","Unknown","6735","[c]","21700","21260"
"Leaver CS","2022","EO","Heterosexual / straight","6130","[c]","27810","27570"
"Leaver CS","2022","EO","LGBO","510","[c]","27560","27570"
"Leaver CS","2022","EO","Undeclared","920","[c]","27890","27570"
"Leaver CS","2022","EO","Unknown","3030","[c]","27520","27570"
"Leaver CS","2022","G6/G7","Heterosexual / straight","2410","[c]","60030","57600"
"Leaver CS","2022","G6/G7","LGBO","170","[c]","60850","57810"
"Leaver CS","2022","G6/G7","Undeclared","450","[c]","60110","57430"
"Leaver CS","2022","G6/G7","Unknown","1270","[c]","60230","57830"
"Leaver CS","2022","SCS level","Heterosexual / straight","410","[c]","95970","93740"
"Leaver CS","2022","SCS level","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","SCS level","Undeclared","60","[c]","98840","95160"
"Leaver CS","2022","SCS level","Unknown","215","[c]","103780","93740"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","5090","[c]","37550","36780"
"Leaver CS","2022","SEO/HEO","LGBO","350","[c]","36520","36330"
"Leaver CS","2022","SEO/HEO","Undeclared","930","[c]","38260","37640"
"Leaver CS","2022","SEO/HEO","Unknown","2515","[c]","37050","36360"
"Leaver CS","2022","Unknown","Heterosexual / straight","1185","[c]","37500","33950"
"Leaver CS","2022","Unknown","LGBO","95","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","165","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","875","[c]","36360","33420"
"Leaver Dept.","2022","AA/AO","Heterosexual / straight","1930","[c]","21510","21260"
"Leaver Dept.","2022","AA/AO","LGBO","140","[c]","21380","21260"
"Leaver Dept.","2022","AA/AO","Undeclared","215","[c]","21560","21260"
"Leaver Dept.","2022","AA/AO","Unknown","1060","[c]","21440","21260"
"Leaver Dept.","2022","EO","Heterosexual / straight","3485","[c]","26990","27570"
"Leaver Dept.","2022","EO","LGBO","315","[c]","27270","27570"
"Leaver Dept.","2022","EO","Undeclared","480","[c]","26760","27570"
"Leaver Dept.","2022","EO","Unknown","970","[c]","27470","27570"
"Leaver Dept.","2022","G6/G7","Heterosexual / straight","2700","[c]","57830","54760"
"Leaver Dept.","2022","G6/G7","LGBO","250","[c]","57130","54700"
"Leaver Dept.","2022","G6/G7","Undeclared","710","[c]","58420","54890"
"Leaver Dept.","2022","G6/G7","Unknown","1130","[c]","58560","55130"
"Leaver Dept.","2022","SCS level","Heterosexual / straight","510","[c]","96010","93740"
"Leaver Dept.","2022","SCS level","LGBO","35","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS level","Undeclared","125","[c]","98640","96650"
"Leaver Dept.","2022","SCS level","Unknown","200","[c]","105450","100080"
