"Status","Year","Organisation","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scotland","AA","30","25","23160","23230"
"In post","2022","Accountant in Bankruptcy","Scotland","EO","40","35","29390","30040"
"In post","2022","Accountant in Bankruptcy","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","G7","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","HEO","25","25","34530","36130"
"In post","2022","Accountant in Bankruptcy","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","SEO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","AO","15","10","20210","20040"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","EO","40","40","24440","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","HEO","40","35","32060","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","EO","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","HEO","20","20","32660","34380"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","SEO","10","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","AO","10","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","EO","35","30","28410","28420"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G7","20","20","58670","58000"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","HEO","65","65","37640","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SCS level","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SEO","50","45","46490","47560"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","EO","60","55","24610","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","HEO","60","55","32080","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","SEO","10","10","40680","39840"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","AO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","EO","55","50","24540","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","HEO","60","55","32820","34270"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","SEO","15","15","40840","39840"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","EO","30","30","24690","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","G7","[c]","[c]","[c]","[c]"
